@relation 30_10_5_10_5_1000

@attribute A1 {d,b,a,e,c,j,g,f,i,h}
@attribute A2 {i,f,d,e,a,c,b,g,j,h}
@attribute A3 {h,b,g,a,i,f,j,d,e,c}
@attribute A4 {h,f,d,i,b,c,a,e,j,g}
@attribute A5 {g,b,j,i,f,e,h,d,a,c}
@attribute A6 {f,g,c,j,i,a,d,e,h,b}
@attribute A7 {c,e,h,b,a,j,i,g,d,f}
@attribute A8 {a,c,e,g,d,h,i,j,b,f}
@attribute A9 {f,g,d,h,i,a,j,c,b,e}
@attribute A10 {f,c,b,e,j,d,a,h,i,g}
@attribute A11 {c,a,d,j,f,h,e,i,b,g}
@attribute A12 {c,g,j,i,h,d,f,e,b,a}
@attribute A13 {b,i,g,d,a,c,h,e,j,f}
@attribute A14 {d,g,f,j,b,e,c,a,i,h}
@attribute A15 {i,h,b,a,d,e,g,j,c,f}
@attribute A16 {g,a,c,b,e,i,f,d,h,j}
@attribute A17 {e,h,f,g,b,a,j,i,d,c}
@attribute A18 {g,c,e,h,a,j,f,b,d,i}
@attribute A19 {a,g,e,h,b,j,d,c,f,i}
@attribute A20 {b,d,f,j,e,h,i,c,a,g}
@attribute A21 {i,b,a,j,c,e,f,d,g,h}
@attribute A22 {a,f,j,c,e,i,b,g,h,d}
@attribute A23 {e,b,h,a,i,f,c,j,g,d}
@attribute A24 {j,a,h,f,i,e,b,g,c,d}
@attribute A25 {c,g,b,f,e,i,a,d,h,j}
@attribute A26 {f,b}
@attribute A27 {a,i,h,e,d,c,b,f,j,g}
@attribute A28 {b,h,e,g,d,i,f,c,j,a}
@attribute A29 {h,b,f,a,e,g,j,c,d,i}
@attribute A30 {c,d,a,h,g,f,b,e,j,i}
@attribute Class {c5,c1,c4,c2,c3}

@data
g,h,e,i,a,f,e,e,d,d,d,g,d,h,e,b,f,h,d,h,e,j,a,h,b,b,i,b,f,h,c4
g,f,b,f,e,j,a,g,f,a,a,a,c,a,h,a,g,b,h,b,j,f,e,f,g,f,f,h,b,e,c1
g,f,b,f,e,i,h,e,f,d,a,f,b,f,h,a,g,a,d,b,c,f,e,b,j,f,e,j,b,c,c1
c,a,f,e,d,i,c,f,h,a,f,f,c,i,i,c,b,a,i,b,j,c,h,j,g,f,i,f,e,d,c3
d,i,a,c,j,c,c,a,f,f,c,c,d,d,d,f,e,a,a,e,f,b,e,j,c,f,e,j,j,d,c5
c,b,d,i,j,i,c,a,d,b,d,f,d,j,j,b,f,h,j,g,j,h,a,h,b,b,j,a,f,h,c4
d,i,b,h,i,d,c,d,f,j,f,c,g,d,d,b,e,c,a,i,h,c,e,i,c,f,f,j,i,i,c5
h,i,j,a,b,g,b,d,h,b,d,f,c,d,e,c,e,c,f,j,e,f,e,d,f,b,e,i,b,f,c2
h,a,f,c,b,g,b,d,h,b,d,b,c,d,g,g,f,c,e,j,e,d,h,i,f,b,j,i,c,i,c2
f,j,j,e,b,j,b,d,h,b,d,g,d,d,b,c,g,c,d,j,e,i,a,c,f,b,j,e,d,g,c2
c,a,f,h,c,a,c,g,h,f,i,a,j,j,j,d,b,j,b,b,g,a,h,j,a,f,i,c,g,a,c3
f,b,a,i,h,f,a,g,d,c,d,h,d,f,f,b,f,h,b,h,b,b,d,h,b,b,i,a,f,h,c4
g,a,d,i,e,e,a,f,i,g,d,f,d,i,f,b,f,h,g,g,a,f,b,h,b,b,g,b,f,h,c4
j,f,f,i,i,d,b,h,j,f,d,i,d,h,d,b,f,h,a,i,a,f,i,h,b,b,j,d,f,h,c4
c,a,f,b,f,a,c,g,h,a,f,g,a,c,j,c,b,d,j,b,c,e,h,j,i,f,i,b,e,b,c3
c,a,f,d,e,b,c,a,h,g,a,e,c,j,h,c,b,i,h,b,a,e,h,j,b,f,i,e,d,j,c3
c,h,h,i,f,b,j,h,f,g,d,h,d,i,h,b,f,h,f,j,h,d,i,h,b,b,g,c,f,h,c4
g,c,f,j,b,h,b,d,h,b,d,c,g,d,a,c,g,c,h,j,c,j,f,e,f,b,j,i,i,b,c2
c,a,f,b,b,d,c,j,h,i,d,g,e,i,h,g,b,j,f,b,h,h,h,j,f,f,i,c,e,e,c3
d,h,a,i,j,b,f,h,i,c,d,h,d,d,c,b,f,h,h,c,f,i,c,h,b,b,f,i,f,h,c4
e,d,j,i,f,g,d,e,g,f,d,g,d,c,f,b,f,h,e,i,i,j,e,h,b,b,b,d,f,h,c4
e,a,i,f,b,j,b,d,h,b,d,h,h,d,a,j,b,c,g,j,d,g,d,c,f,b,h,f,e,b,c2
j,f,b,f,i,g,d,a,d,g,a,e,j,d,h,a,g,d,c,b,h,f,e,b,a,f,g,d,b,i,c1
d,f,g,b,b,j,b,d,h,b,d,e,h,d,f,d,e,c,g,j,g,i,g,j,f,b,b,g,g,g,c2
d,i,j,c,j,f,c,i,f,g,j,c,h,d,c,f,e,g,a,g,h,f,e,d,c,f,h,b,d,f,c5
c,a,f,h,j,j,c,d,h,h,d,d,h,a,e,i,b,i,c,b,i,c,h,j,e,f,i,b,j,i,c3
c,a,f,c,b,e,c,b,h,g,b,e,a,h,g,f,b,f,c,b,f,c,h,j,e,f,i,g,j,c,c3
e,e,h,i,d,b,h,i,h,j,d,b,d,f,b,b,f,h,f,b,i,h,d,h,b,b,g,j,f,h,c4
h,g,h,i,a,e,b,b,a,f,d,c,d,d,d,b,f,h,b,f,b,j,c,h,b,b,b,f,f,h,c4
f,a,c,i,b,d,b,a,h,a,d,d,d,e,f,b,f,h,i,b,j,a,h,h,b,b,c,d,f,h,c4
c,a,f,i,a,d,c,g,h,h,f,g,e,f,d,f,b,i,d,b,h,h,h,j,b,f,i,c,f,g,c3
h,a,d,b,b,g,b,d,h,b,d,i,j,d,g,h,i,c,h,j,j,j,a,g,f,b,c,b,j,d,c2
d,i,j,d,i,f,c,b,f,i,g,c,a,d,h,f,e,b,a,i,h,j,e,b,c,f,j,d,e,i,c5
h,d,j,i,j,b,e,g,a,c,d,d,d,g,d,b,f,h,b,i,a,e,g,h,b,b,h,e,f,h,c4
j,d,j,f,b,i,b,d,h,b,d,g,j,d,f,e,h,c,g,j,j,a,c,c,f,b,b,f,e,a,c2
d,i,b,i,i,c,c,f,f,a,h,c,f,d,c,f,e,a,a,g,c,h,e,j,c,f,i,g,g,g,c5
j,f,b,f,f,b,c,a,a,a,a,j,g,c,h,a,b,a,g,b,i,f,e,a,i,f,f,j,b,f,c1
c,a,f,a,c,a,c,c,h,g,h,j,c,c,e,b,b,f,f,b,i,i,h,j,h,f,i,g,f,h,c3
j,f,b,f,g,i,a,d,f,f,a,j,c,a,h,a,j,g,f,b,j,f,e,c,b,f,f,d,b,j,c1
a,f,b,f,g,i,e,a,b,b,a,b,h,f,h,a,j,h,e,b,j,f,e,d,j,f,c,c,b,h,c1
g,a,f,i,c,a,d,i,i,b,d,g,d,g,d,b,f,h,h,g,j,a,b,h,b,b,j,a,f,h,c4
d,i,g,h,a,h,c,d,f,e,b,c,d,d,d,j,e,e,a,h,a,c,e,h,c,f,i,i,e,g,c5
b,c,e,e,b,j,b,d,h,b,d,a,d,d,g,b,b,c,a,j,a,b,d,f,f,b,h,f,f,h,c2
d,i,j,a,f,j,c,i,f,f,h,c,j,d,e,b,e,d,a,i,a,i,e,d,c,f,j,f,c,a,c5
c,a,f,b,i,c,c,j,h,a,d,f,c,j,c,h,b,f,a,b,g,f,h,j,a,f,i,a,e,c,c3
d,i,g,h,c,d,c,f,f,i,a,c,j,d,i,c,e,g,a,h,d,d,e,j,c,f,j,b,g,b,c5
b,c,g,i,e,e,e,b,j,f,d,a,d,h,b,b,f,h,e,i,f,c,a,h,b,b,d,e,f,h,c4
j,f,b,f,d,j,j,j,b,a,a,a,j,g,h,a,a,d,d,b,i,f,e,i,e,f,h,h,b,g,c1
c,a,f,a,g,f,c,a,h,b,a,g,j,a,b,c,b,e,h,b,f,c,h,j,j,f,i,d,e,a,c3
d,i,g,h,i,g,c,a,f,j,b,c,b,d,a,e,e,f,a,f,c,e,e,j,c,f,b,a,f,j,c5
d,i,b,e,h,c,c,b,f,g,g,c,j,d,b,b,e,e,a,h,c,e,e,d,c,f,a,b,h,j,c5
d,i,g,j,a,h,c,d,f,i,j,c,b,d,g,g,e,a,a,d,d,f,e,c,c,f,a,f,d,e,c5
f,f,f,j,b,g,b,d,h,b,d,c,e,d,b,c,c,c,a,j,c,a,b,j,f,b,b,j,i,h,c2
f,j,c,i,b,d,b,d,h,b,d,b,f,d,e,f,g,c,f,j,a,c,b,h,f,b,j,i,b,e,c2
a,a,i,i,g,g,a,e,j,c,d,j,d,b,f,b,f,h,j,i,c,h,j,h,b,b,g,e,f,h,c4
c,a,f,i,h,h,c,f,h,b,d,d,h,c,e,f,b,h,a,b,g,c,h,j,i,f,i,i,c,b,c3
d,i,f,h,c,h,c,h,f,i,i,c,g,d,f,g,e,e,a,e,j,a,e,i,c,f,c,c,h,f,c5
h,g,f,e,b,b,b,d,h,b,d,b,c,d,i,e,j,c,d,j,h,i,h,g,f,b,i,e,h,c,c2
b,b,h,i,j,j,h,b,b,b,d,j,d,e,d,b,f,h,j,f,b,f,c,h,b,b,d,i,f,h,c4
d,i,d,i,b,c,c,b,f,h,f,c,e,d,a,e,e,b,a,a,g,h,e,e,c,f,i,h,i,f,c5
g,j,d,i,e,c,j,b,e,h,d,e,d,g,e,b,f,h,e,g,i,e,i,h,b,b,h,d,f,h,c4
d,i,d,b,c,j,c,a,f,j,c,c,a,d,f,i,e,g,a,f,f,d,e,i,c,f,f,a,e,j,c5
d,i,f,c,g,d,c,b,f,h,h,c,e,d,c,h,e,h,a,d,e,i,e,b,c,f,i,i,j,e,c5
i,e,g,j,b,f,b,d,h,b,d,i,a,d,b,g,d,c,j,j,d,e,i,j,f,b,c,d,j,f,c2
h,f,b,f,h,i,a,f,a,c,a,a,d,i,h,a,e,e,g,b,e,f,e,e,j,f,c,i,b,d,c1
d,f,b,f,d,j,g,g,e,e,a,g,h,e,h,a,h,i,b,b,b,f,e,g,b,f,e,d,b,c,c1
a,f,b,f,f,a,i,h,e,b,a,e,j,g,h,a,e,f,e,b,j,f,e,i,b,f,j,h,b,c,c1
f,f,b,f,c,i,i,b,c,a,a,g,a,j,h,a,b,g,a,b,j,f,e,j,b,f,c,i,b,g,c1
c,h,a,d,b,d,b,d,h,b,d,i,f,d,e,g,c,c,b,j,f,j,a,a,f,b,g,d,a,d,c2
c,a,f,a,f,h,c,f,h,i,j,i,i,e,g,b,b,f,b,b,j,c,h,j,c,f,i,i,g,b,c3
i,g,e,i,f,h,b,c,j,e,d,f,d,e,c,b,f,h,h,e,d,f,e,h,b,b,h,g,f,h,c4
c,d,i,h,b,e,b,d,h,b,d,g,j,d,f,f,f,c,i,j,d,d,b,j,f,b,h,a,e,c,c2
g,b,j,f,b,g,b,d,h,b,d,a,e,d,i,j,h,c,b,j,g,d,i,c,f,b,f,i,b,a,c2
d,i,b,c,e,a,c,f,f,a,j,c,c,d,g,e,e,c,a,e,j,c,e,j,c,f,e,d,f,d,c5
f,e,d,i,g,c,h,a,f,j,d,i,d,h,b,b,f,h,f,b,e,i,h,h,b,b,h,j,f,h,c4
d,i,b,a,e,i,c,f,f,d,a,c,d,d,e,j,e,b,a,a,a,j,e,e,c,f,c,b,a,f,c5
c,a,f,g,b,f,c,h,h,c,i,c,f,f,g,b,b,g,e,b,f,j,h,j,d,f,i,b,b,i,c3
j,h,d,h,b,j,b,d,h,b,d,f,b,d,i,j,h,c,b,j,f,j,a,j,f,b,j,f,c,e,c2
a,j,g,i,j,b,f,h,b,g,d,h,d,d,a,b,f,h,i,f,b,b,f,h,b,b,f,e,f,h,c4
i,i,b,c,b,g,b,d,h,b,d,g,e,d,b,e,a,c,e,j,e,e,d,b,f,b,a,c,i,f,c2
g,f,b,f,b,a,f,h,c,h,a,j,g,b,h,a,a,f,a,b,j,f,e,d,e,f,i,j,b,c,c1
f,e,f,i,j,f,d,d,d,c,d,d,d,g,d,b,f,h,j,d,h,f,e,h,b,b,i,d,f,h,c4
c,a,f,d,j,h,c,j,h,c,i,c,e,a,i,d,b,e,j,b,b,i,h,j,b,f,i,e,e,d,c3
c,a,f,e,i,h,c,e,h,b,g,h,d,i,a,d,b,c,a,b,c,b,h,j,d,f,i,b,h,c,c3
d,i,f,h,i,f,c,i,f,i,i,c,b,d,g,h,e,e,a,i,i,j,e,d,c,f,a,g,i,b,c5
j,b,i,b,b,b,b,d,h,b,d,e,h,d,i,h,h,c,g,j,i,f,d,i,f,b,f,a,f,c,c2
b,a,e,i,h,h,c,b,a,d,d,a,d,f,b,b,f,h,d,b,b,j,j,h,b,b,j,b,f,h,c4
c,a,f,d,f,d,c,c,h,i,b,e,a,i,i,g,b,g,a,b,d,h,h,j,f,f,i,e,g,e,c3
d,f,b,f,c,h,f,a,h,h,a,a,a,f,h,a,a,d,g,b,a,f,e,f,i,f,i,h,b,j,c1
c,a,f,c,e,i,c,b,h,f,c,b,a,f,h,b,b,g,a,b,h,j,h,j,d,f,i,g,c,c,c3
a,f,b,f,e,j,e,e,h,h,a,h,g,d,h,a,d,c,c,b,h,f,e,a,j,f,g,d,b,e,c1
i,f,b,f,b,d,b,b,e,h,a,g,b,g,h,a,e,f,c,b,h,f,e,d,f,f,f,b,b,b,c1
c,a,f,g,d,j,c,e,h,i,i,a,b,a,e,b,b,e,i,b,b,f,h,j,g,f,i,j,h,a,c3
e,i,d,e,b,f,b,d,h,b,d,h,a,d,c,d,c,c,d,j,g,b,f,a,f,b,d,a,e,a,c2
b,e,e,i,g,e,d,j,a,c,d,i,d,h,h,b,f,h,e,d,h,g,i,h,b,b,e,d,f,h,c4
j,d,j,b,b,a,b,d,h,b,d,j,g,d,c,g,e,c,e,j,i,i,c,d,f,b,c,f,d,f,c2
d,i,h,b,e,f,c,i,f,e,g,c,e,d,f,a,e,f,a,b,g,j,e,g,c,f,j,i,g,j,c5
d,i,c,e,e,b,c,c,f,h,f,c,j,d,h,a,e,c,a,i,e,b,e,i,c,f,a,a,c,d,c5
d,i,i,j,b,d,c,i,f,g,g,c,b,d,i,i,e,j,a,g,c,b,e,a,c,f,g,d,e,h,c5
d,i,h,f,a,e,c,h,f,c,b,c,i,d,c,g,e,d,a,e,i,h,e,e,c,f,c,e,f,d,c5
a,a,h,i,f,d,g,d,d,h,d,b,d,c,c,b,f,h,e,b,b,g,f,h,b,b,h,h,f,h,c4
d,i,f,b,i,b,c,h,f,j,a,c,d,d,j,h,e,i,a,f,e,e,e,h,c,f,f,i,a,c,c5
h,f,b,f,g,i,d,d,g,h,a,b,j,b,h,a,c,d,a,b,g,f,e,h,j,f,c,e,b,f,c1
d,h,i,i,e,c,i,j,h,d,d,f,d,e,i,b,f,h,i,c,d,a,d,h,b,b,g,j,f,h,c4
d,i,e,j,h,f,c,a,f,h,g,c,e,d,a,h,e,f,a,i,e,c,e,a,c,f,g,e,b,a,c5
c,a,f,i,g,a,c,i,h,a,a,b,g,e,g,h,b,f,a,b,h,f,h,j,b,f,i,i,j,j,c3
a,c,e,d,b,f,b,d,h,b,d,j,g,d,d,d,a,c,j,j,d,f,a,f,f,b,g,h,f,d,c2
i,f,a,d,b,i,b,d,h,b,d,c,f,d,j,g,b,c,f,j,b,c,f,c,f,b,b,c,d,g,c2
e,f,b,f,b,h,e,i,f,j,a,c,f,c,h,a,d,d,b,b,g,f,e,f,a,f,h,d,b,f,c1
g,g,d,i,a,h,i,j,i,c,d,a,d,b,a,b,f,h,f,e,h,h,a,h,b,b,f,e,f,h,c4
c,a,f,i,g,d,c,e,h,i,i,h,a,a,g,d,b,c,d,b,d,b,h,j,j,f,i,e,e,c,c3
a,i,j,i,d,e,j,f,f,g,d,j,d,a,d,b,f,h,f,a,c,c,d,h,b,b,e,h,f,h,c4
j,f,i,i,b,g,c,d,j,d,d,d,d,d,g,b,f,h,f,g,j,c,h,h,b,b,g,g,f,h,c4
h,b,i,j,b,b,b,d,h,b,d,e,h,d,b,g,j,c,a,j,f,g,g,i,f,b,f,a,j,d,c2
d,f,b,f,f,b,f,i,b,i,a,g,h,g,h,a,g,e,b,b,b,f,e,b,i,f,h,d,b,e,c1
g,f,j,d,b,f,b,d,h,b,d,f,b,d,c,i,e,c,h,j,b,j,d,j,f,b,i,i,e,d,c2
a,b,e,i,j,a,e,g,b,g,d,a,d,d,i,b,f,h,a,g,j,h,c,h,b,b,f,e,f,h,c4
c,a,f,j,a,a,c,e,h,b,a,f,e,b,c,i,b,e,i,b,i,d,h,j,i,f,i,j,f,b,c3
d,f,b,f,f,b,h,j,e,h,a,g,d,h,h,a,f,b,a,b,a,f,e,g,h,f,h,e,b,e,c1
j,d,f,f,b,f,b,d,h,b,d,c,i,d,c,f,c,c,c,j,b,e,i,d,f,b,i,c,h,j,c2
e,c,g,i,b,e,e,j,j,b,d,e,d,h,a,b,f,h,i,c,h,h,b,h,b,b,a,d,f,h,c4
c,a,f,c,h,g,c,h,h,f,d,b,g,j,f,b,b,i,a,b,c,b,h,j,d,f,i,i,a,a,c3
d,j,h,i,i,h,f,d,c,b,d,e,d,i,d,b,f,h,f,d,e,g,i,h,b,b,i,i,f,h,c4
d,i,h,d,h,e,c,c,f,d,f,c,i,d,a,b,e,a,a,h,g,c,e,i,c,f,g,f,b,h,c5
c,a,j,e,b,h,b,d,h,b,d,g,a,d,h,d,d,c,j,j,g,i,e,h,f,b,b,d,j,j,c2
d,i,i,f,b,a,c,g,f,j,i,c,h,d,i,a,e,i,a,g,e,g,e,g,c,f,g,e,h,e,c5
d,i,b,h,c,j,c,a,f,j,d,c,a,d,h,g,e,g,a,i,d,i,e,d,c,f,h,i,j,a,c5
c,a,f,g,c,j,c,c,h,h,d,c,j,j,i,i,b,g,g,b,j,c,h,j,a,f,i,f,b,f,c3
c,a,f,i,j,g,c,b,h,g,b,d,a,h,d,b,b,i,d,b,e,h,h,j,d,f,i,b,b,b,c3
h,j,e,i,b,b,h,i,g,h,d,f,d,f,a,b,f,h,g,j,b,f,j,h,b,b,e,b,f,h,c4
d,i,f,d,c,d,c,h,f,d,f,c,h,d,g,b,e,h,a,h,g,c,e,i,c,f,b,j,i,c,c5
d,i,f,f,g,g,c,c,f,f,h,c,i,d,a,b,e,c,a,e,c,e,e,j,c,f,c,d,b,c,c5
h,g,e,i,c,h,h,a,h,j,d,i,d,c,f,b,f,h,d,h,a,c,j,h,b,b,d,b,f,h,c4
c,a,f,c,f,a,c,b,h,h,g,i,h,h,h,e,b,c,g,b,j,f,h,j,g,f,i,j,i,d,c3
a,g,e,a,b,a,b,d,h,b,d,i,c,d,a,b,g,c,d,j,d,h,g,i,f,b,i,g,d,g,c2
d,i,b,b,e,e,c,h,f,c,e,c,b,d,a,c,e,j,a,j,h,f,e,g,c,f,f,i,a,d,c5
d,i,e,g,f,a,c,i,f,h,b,c,j,d,j,a,e,d,a,f,j,f,e,h,c,f,b,b,e,g,c5
d,i,h,j,d,c,c,f,f,b,j,c,b,d,a,e,e,b,a,j,g,i,e,b,c,f,a,h,j,b,c5
d,g,d,i,h,c,e,b,j,h,d,h,d,d,i,b,f,h,i,f,j,f,e,h,b,b,a,d,f,h,c4
f,f,b,f,f,j,i,j,d,a,a,i,a,d,h,a,h,g,j,b,j,f,e,g,b,f,c,f,b,g,c1
d,i,i,h,a,i,c,e,f,a,d,c,c,d,d,e,e,i,a,c,c,c,e,f,c,f,d,c,b,h,c5
c,f,b,f,i,g,b,c,a,g,a,g,i,c,h,a,f,c,c,b,e,f,e,c,h,f,c,a,b,f,c1
g,f,b,f,j,h,i,b,a,c,a,i,b,h,h,a,f,e,h,b,d,f,e,b,e,f,f,f,b,b,c1
d,f,b,f,g,h,i,i,j,f,a,f,b,d,h,a,d,b,b,b,j,f,e,f,h,f,g,f,b,h,c1
j,f,b,f,j,g,i,a,i,c,a,d,c,a,h,a,e,i,e,b,f,f,e,h,d,f,c,j,b,i,c1
g,f,b,f,f,e,f,j,c,d,a,c,j,f,h,a,e,g,h,b,c,f,e,b,e,f,g,e,b,g,c1
d,i,d,f,d,c,c,e,f,c,c,c,a,d,f,f,e,c,a,b,c,i,e,g,c,f,h,a,h,e,c5
c,a,f,c,e,f,c,h,h,a,d,f,c,c,f,c,b,b,e,b,d,e,h,j,a,f,i,a,b,g,c3
b,f,b,f,i,b,d,f,j,g,a,b,g,i,h,a,a,g,a,b,i,f,e,j,c,f,c,e,b,a,c1
c,a,f,c,i,a,c,i,h,j,a,g,j,h,i,c,b,e,c,b,b,h,h,j,a,f,i,f,a,a,c3
a,e,i,i,b,c,b,d,h,b,d,f,i,d,f,h,d,c,i,j,j,c,g,j,f,b,c,g,c,c,c2
i,f,b,f,a,f,c,h,j,d,a,h,j,f,h,a,h,g,d,b,e,f,e,a,c,f,a,a,b,c,c1
d,i,f,a,h,e,c,c,f,h,h,c,b,d,d,e,e,e,a,d,b,c,e,e,c,f,a,b,d,e,c5
e,i,g,f,b,h,b,d,h,b,d,i,a,d,b,j,c,c,h,j,b,i,g,g,f,b,b,j,d,d,c2
d,i,d,j,g,i,c,f,f,i,c,c,g,d,j,f,e,j,a,j,h,d,e,c,c,f,e,a,f,a,c5
e,j,h,e,b,e,b,d,h,b,d,i,i,d,e,a,j,c,d,j,f,i,e,g,f,b,c,j,h,f,c2
a,d,i,i,c,i,i,c,e,j,d,f,d,a,b,b,f,h,d,j,g,a,h,h,b,b,i,g,f,h,c4
b,f,b,f,c,h,b,f,b,b,a,c,b,c,h,a,g,d,c,b,j,f,e,c,a,f,g,a,b,f,c1
h,b,i,i,e,d,i,c,b,h,d,h,d,f,c,b,f,h,c,j,f,b,d,h,b,b,j,a,f,h,c4
d,d,f,d,b,e,b,d,h,b,d,d,d,d,b,i,a,c,i,j,j,b,j,f,f,b,g,d,e,i,c2
d,i,c,f,e,e,c,f,f,b,a,c,b,d,c,j,e,c,a,i,h,a,e,g,c,f,a,d,a,f,c5
d,i,f,e,i,d,c,b,f,b,i,c,h,d,c,j,e,g,a,g,a,g,e,g,c,f,f,i,i,a,c5
a,a,b,i,a,g,f,i,h,b,d,b,d,g,i,b,f,h,b,b,f,b,d,h,b,b,e,e,f,h,c4
a,f,c,i,f,h,f,c,f,e,d,h,d,i,a,b,f,h,c,b,e,i,j,h,b,b,f,b,f,h,c4
d,i,f,c,f,b,c,f,f,c,a,c,e,d,g,f,e,b,a,j,d,h,e,d,c,f,f,h,b,j,c5
b,h,b,h,b,f,b,d,h,b,d,c,g,d,j,g,a,c,a,j,b,h,e,h,f,b,d,i,a,a,c2
e,a,d,i,b,a,h,a,g,f,d,h,d,a,i,b,f,h,j,d,b,c,c,h,b,b,c,e,f,h,c4
d,i,g,j,j,h,c,d,f,c,i,c,g,d,b,f,e,e,a,i,f,j,e,d,c,f,a,h,e,d,c5
f,f,b,f,b,d,i,f,j,j,a,j,i,i,h,a,f,a,j,b,c,f,e,i,f,f,j,g,b,h,c1
b,f,b,f,e,j,e,e,e,d,a,c,a,b,h,a,h,b,c,b,j,f,e,b,a,f,c,f,b,a,c1
d,i,i,j,e,c,c,d,f,d,i,c,h,d,b,j,e,f,a,j,d,f,e,g,c,f,e,c,a,j,c5
d,i,a,e,a,b,c,h,f,h,c,c,h,d,d,d,e,h,a,d,a,b,e,h,c,f,i,d,g,h,c5
c,a,f,i,j,h,c,h,h,i,c,a,i,i,b,d,b,e,e,b,b,a,h,j,j,f,i,e,j,d,c3
h,f,b,f,b,g,j,f,g,b,a,b,g,b,h,a,e,i,h,b,j,f,e,g,i,f,c,f,b,a,c1
c,a,f,a,g,a,c,c,h,h,d,b,b,j,e,a,b,f,c,b,h,e,h,j,d,f,i,h,i,i,c3
c,a,f,e,a,a,c,i,h,j,f,j,b,j,b,h,b,b,e,b,i,e,h,j,g,f,i,d,g,h,c3
b,f,b,f,a,e,e,e,i,d,a,b,g,c,h,a,a,j,f,b,i,f,e,d,a,f,g,g,b,i,c1
h,f,b,f,j,a,f,d,a,c,a,d,c,j,h,a,h,j,h,b,j,f,e,h,j,f,h,j,b,h,c1
b,b,e,g,b,c,b,d,h,b,d,b,c,d,h,i,d,c,i,j,h,d,g,h,f,b,c,d,g,a,c2
a,f,b,f,g,e,i,i,i,i,a,c,c,c,h,a,b,a,g,b,j,f,e,g,j,f,i,j,b,g,c1
j,f,b,f,c,f,e,g,e,i,a,b,a,b,h,a,h,g,i,b,i,f,e,i,h,f,c,b,b,c,c1
g,g,f,d,b,g,b,d,h,b,d,d,c,d,b,e,f,c,b,j,g,d,a,d,f,b,f,f,d,e,c2
c,a,f,j,b,g,c,f,h,a,h,e,j,j,b,i,b,i,j,b,d,h,h,j,f,f,i,f,e,h,c3
c,a,f,g,j,b,c,h,h,f,a,h,j,f,f,a,b,c,c,b,a,h,h,j,b,f,i,b,j,j,c3
c,a,f,e,g,e,c,b,h,j,j,f,b,c,b,c,b,b,e,b,f,i,h,j,b,f,i,i,i,b,c3
d,i,e,c,a,e,c,c,f,a,g,c,c,d,h,c,e,i,a,g,e,j,e,e,c,f,e,i,d,a,c5
c,a,f,f,a,b,c,h,h,d,h,i,d,e,g,i,b,g,i,b,i,a,h,j,f,f,i,d,j,d,c3
f,f,b,f,b,b,f,c,h,g,a,j,f,d,h,a,a,a,h,b,a,f,e,i,i,f,e,c,b,h,c1
j,a,c,i,g,a,c,i,d,i,d,c,d,a,b,b,f,h,g,j,g,f,g,h,b,b,a,g,f,h,c4
j,h,i,f,b,b,b,d,h,b,d,j,h,d,f,c,d,c,i,j,h,d,i,a,f,b,g,j,c,d,c2
i,e,b,i,e,d,c,c,j,h,d,i,d,h,c,b,f,h,f,i,b,e,g,h,b,b,g,g,f,h,c4
c,f,b,f,b,j,h,j,d,g,a,a,j,b,h,a,h,f,d,b,d,f,e,g,f,f,d,b,b,j,c1
h,a,i,c,b,j,b,d,h,b,d,h,a,d,d,a,i,c,f,j,d,i,a,i,f,b,b,c,a,g,c2
d,i,c,j,j,g,c,i,f,d,j,c,j,d,i,d,e,h,a,f,f,d,e,i,c,f,g,a,c,a,c5
d,i,a,b,g,g,c,e,f,h,b,c,i,d,d,a,e,j,a,a,e,b,e,g,c,f,e,h,j,e,c5
c,a,f,d,a,b,c,f,h,a,f,a,h,d,a,b,b,b,b,b,i,j,h,j,a,f,i,a,e,a,c3
i,d,a,c,b,a,b,d,h,b,d,e,f,d,h,d,j,c,a,j,i,i,h,d,f,b,i,e,d,j,c2
j,b,f,i,a,e,g,i,e,e,d,h,d,i,c,b,f,h,j,a,e,b,b,h,b,b,h,f,f,h,c4
d,f,b,f,e,g,g,g,e,h,a,e,j,a,h,a,c,j,h,b,e,f,e,f,e,f,i,d,b,f,c1
f,f,b,f,d,f,g,f,e,e,a,i,h,j,h,a,c,i,g,b,h,f,e,i,c,f,g,g,b,c,c1
d,h,j,i,b,h,f,e,d,j,d,g,d,a,d,b,f,h,g,j,g,g,a,h,b,b,b,b,f,h,c4
d,i,a,d,c,a,c,f,f,h,h,c,f,d,i,c,e,g,a,h,g,i,e,b,c,f,g,c,g,d,c5
b,f,b,f,c,b,g,h,c,c,a,g,a,f,h,a,i,j,e,b,j,f,e,j,j,f,f,d,b,d,c1
a,e,d,i,h,h,d,f,d,b,d,h,d,j,i,b,f,h,f,d,d,i,f,h,b,b,d,a,f,h,c4
d,f,b,f,f,i,e,d,f,c,a,e,d,e,h,a,f,e,i,b,f,f,e,b,a,f,h,e,b,j,c1
e,c,e,i,b,i,g,a,f,d,d,c,d,h,c,b,f,h,h,b,a,j,c,h,b,b,h,c,f,h,c4
c,a,f,d,a,g,c,a,h,e,c,j,f,i,c,j,b,f,d,b,e,e,h,j,g,f,i,g,h,a,c3
