@relation data2

@attribute A {w,au,bx,cn,co,u,an,ca,ag,ak,q,o,cs,t,n,bs,aa,cj,be,br,ct,aw,ai,ah,z,l,cb,cu,bp,ck,a,cv,j,cd,cm,ba,ch,ap,aj,bq,cg,bk,am,h,bu,bt,g,cl,as,bf,bi,av,bj,e,bb,bl,at,ad,af,cr,cf,bg,ar,ab,k,ci,aq,ax,bh,v,az,ao,i,bd,c,bm,m,b,r,ae,bo,by,bw,f,d,cq,ce,bc,bv,bn,ac,y,al,p,s,bz,cc,ay}
@attribute B {ch,bz,a,i,bt,j,bl,bj,co,ac,ad,ai,af,aq,bu,l,cr,au,bk,y,ak,x,av,q,cu,bh,ci,bg,at,r,be,an,c,bf,u,bd,az,bw,bs,f,cm,p,k,cs,cl,g,bv,b,cp,bq,ao,by,s,ce,bm,cj,d,bo,ap,ba,bi,n,bx,cb,ay,cn,as,bc,al,h,m,cd,cq,ca,aa,cv,cf,z,aw,bp,t,cc,am,ar,aj,ab,o,cg,ah,bb,v,bn,e,ct,ck,w,ae,ax,ag,br}
@attribute C {s,ah,ai,y,af,be,cg,j,ce,bs,cq,bp,o,t,k,ct,as,ay,c,cn,bk,ag,bf,ch,cr,d,bz,cl,z,b,ac,i,cm,az,bo,at,ci,l,ap,x,bu,al,cu,cc,bl,ck,ao,ad,cf,by,co,n,bi,am,p,bw,m,ba,bb,bv,ca,aj,bd,cs,cd,bm,f,au,bj,bh,ak,an,u,bc,ae,cb,e,ar,bq,h,ab,aq,br,v,bx,bg,a,q,aw,cp,av,bn,g,r,bt,ax,cv}
@attribute D {an,bv}
@attribute E {cd,w,aa,v,bp,aj,co,cr,af,z,ch,ay,bo,ai,cs,cl,m,ba,bk,cj,d,r,ap,bs,br,l,ct,i,cc,cq,ae,au,bx,cm,o,bj,bv,f,c,be,cu,ca,b,av,x,bz,ac,cf,at,cn,ao,bm,bi,az,ci,g,bn,ag,bd,by,bl,am,ak,ax,cg,t,y,a,ad,k,h,aq,bq,ce,p,al,ck,bg,j,bu,an,u,bc,bt,bh,cv,s,bf,q,cp,bw,n,ab,ar,e,aw,cb}
@attribute F {bc,ar,ay,q,a,bx,as,bw,f,cm,p,cu,o,ct,r,k,bk,at,au,bg,bp,ao,e,av,bn,az,cp,be,bi,bb,ae,bo,cs,br,j,bs,g,m,h,cj,ce,cf,cq,v,am,bv,s,cl,cg,ad,ai,y,bq,x,n,ch,by,bh,l,d,b,aw,ck,bz,u,ax,bt,cc,i,aj,bj,ca,cn,ba,ah,bf,bl,ac,t,aa,aq,c,al,cb,bd,z,cv,ab,ci,an,bu,cd,co,cr,af,w,bm,ap,ak,ag}
@attribute G {bn,y,g,m,ax,k,az,ca,cb,h,bj,bv,cl,cs,bf,e,cq,i,z,ch,ct,as,w,ae,at,aw,f,ah,ac,bt,bz,cf,cc,cv,bq,ba,ab,r,cp,a,v,cu,bc,bg,bh,bd,ck,t,ao,bb,ce,am,ak,cr,l,c,o,bo,an,bp,s,ap,x,ay,cn,bu,ci,cg,cm,j,al,bs,n,bm,co,q,by,p,cd,bi,aa,au,bw,bl,aq,ag,bk,be,cj,ad,b,ar,ai,af,u,br,aj,av,d}
@attribute H {ax,bv,bq,be,d,ar,an,bf,bh,ah,t,cu,ck,cd,x,i,f,cl,bk,aj,y,bu,aw,ce,as,p,w,cn,ab,a,ct,cc,bg,cf,cv,s,ac,bb,bj,bx,bc,bs,z,o,q,cj,b,bd,r,au,cp,bt,aa,ad,bm,bw,k,n,al,at,ap,cg,ae,ao,j,ak,by,h,cr,ci,bp,bo,am,ba,bl,e,cs,cq,ca,bi,m,ay,br,c,ch,v,aq,ag,g,cm,l,u,av,cb,bz,af,ai,bn,az,co}
@attribute I {j,af,bm,bz,x,bw,ab,cn,bd,bi,bp,cd,m,q,w,bb,cc,cb,ao,ag,y,bs,bx,bf,aj,bu,bg,g,cm,ad,bc,cu,co,r,bn,bv,c,f,ae,ah,ac,bj,ay,aw,d,cf,i,z,ck,aq,u,cg,an,cj,ba,az,bo,cr,ap,bl,s,t,l,al,br,bt,be,ch,ca,bk,av,am,ce,ak,n,ct,b,cq,p,aa,bh,k,as,cp,bq,v,o,cl,by,ax,at,a,cs,au,h,ci,ai,ar,cv}
@attribute J {h,ax,ct,cm,v,bo,bp,aw,bf,o,x,bv,aa,br,ai,cl,j,bc,i,af,m,an,u,ce,r,bl,ay,at,az,ac,cb,au,e,bn,s,bu,al,ap,t,l,cc,ca,bz,b,co,f,bj,av,ba,cr,bq,bb,be,aj,ch,ar,bh,cp,cf,c,cj,q,bt,ah,cv,cs,y,ab,bw,ad,bx,a,cg,z,as,cu,bg,ae,k,w,ao,d,ck,ak,bk,ci,bm,g,p,ag,cn,cq,cd,am,n,bd,by,aq,bi,bs}
@attribute K {bh,as,v,cj,p,bu,x,bq,g,ay,t,ci,bm,ar,ai,bg,a,cc,y,aa,by,bk,l,cq,n,h,i,ag,ae,r,aw,cp,am,cb,ah,an,w,aq,bi,bn,br,bl,cm,o,b,co,q,cv,cr,be,bz,cf,bx,j,ca,ax,bf,al,au,bw,bt,ad,bv,f,m,bo,c,bc,cg,cu,az,z,cl,ao,aj,ac,bj,bs,d,ba,k,s,cd,cn,e,cs,ct,ck,bb,bp,at,ak,af,ce,ab,ap,ch,bd,u,av}
@attribute L {b,aq,af,al,bm,cc,y,ag,s,ba,co,ca,cv,u,l,aj,ct,v,cm,cr,bk,bi,am,bo,ao,i,bz,as,ah,o,bl,cl,d,a,ch,cq,c,bf,br,cs,ay,n,an,cj,ck,ai,cn,cb,ad,r,aw,m,au,bg,bt,bx,k,be,cp,bp,bw,bc,cf,x,ar,cg,by,ak,cd,ae,bn,q,h,bu,bd,at,bj,av,az,ab,aa,ap,bb,p,f,e,ci,bh,w,cu,ce,j,ax,g,ac,t,bq,bs,bv,z}
@attribute M {v,aq,bh,t,bt,cf,p,ao,ba,z,cu,b,bb,cs,ar,aw,ce,g,cp,cc,br,ag,m,e,bd,k,ck,n,cm,ci,cr,by,cg,l,d,co,bw,cn,bk,a,az,am,o,ca,ak,af,cj,cq,c,an,ap,h,ct,y,f,ay,bv,aj,bx,av,ch,ah,bp,bz,bn,bc,ai,bi,i,cv,w,ad,bu,bj,j,bm,au,at,s,r,bs,q,aa,bq,bf,cb,al,cd,bg,x,be,ax,u,ab,ac,ae,bl,cl,bo,as}
@attribute N {cb,bo,x,bv,v,u,ae,cj,ap,bq,g,cd,bd,aa,k,cc,be,bf,br,cm,at,co,ag,cu,cr,by,bc,bi,af,cl,bm,bn,w,ak,ci,d,bp,aq,bb,i,au,cs,ac,s,bj,aw,bh,j,f,ca,bg,t,aj,bz,r,q,n,bk,ab,cn,ba,b,cv,az,cp,ax,cg,bl,o,an,z,ay,l,a,h,c,bt,as,ao,ai,ch,bs,bw,am,ad,p,y,cq,e,bu,ct,m,ck,av,ah,al,bx,ce,cf,ar}
@attribute O {v,bl,cc,aa,bu,ca,ce,bq,cg,w,cb,ba,ay,i,co,cv,cq,bv,bh,z,q,m,g,as,bg,bs,f,cr,bz,bj,cu,t,o,az,bt,c,cf,ci,ae,ck,d,ao,a,bn,bc,cl,by,n,r,cn,bk,aj,ar,cm,s,af,cs,bw,cj,ai,x,j,aw,ct,bp,ax,ch,aq,cd,u,bm,br,l,av,be,bb,bf,k,cp,y,b,bi,au,am,ag,bd,ap,ab,ah,bx,e,ad,an,al,ak,bo,p,at,ac,h}
@attribute Class {c1,c2}

@data
bl,bu,s,an,ci,cm,bn,ax,j,ch,p,ac,ap,bt,ct,c1
a,bx,s,an,co,u,bn,ax,j,ck,e,u,y,aq,bb,c1
az,h,s,an,cl,ab,bn,ax,j,bd,bb,h,cs,bp,bj,c1
bx,ay,k,bv,aa,ab,d,cr,ad,ct,ay,af,f,cc,bt,c2
bx,ag,ca,bv,aa,k,bb,e,bh,ct,aa,af,cj,v,i,c2
bx,at,j,bv,aa,ah,b,bi,bo,ct,o,af,bx,bc,by,c2
bx,a,ci,bv,aa,cu,q,z,bc,ct,p,af,ax,aa,ae,c2
ah,cf,s,an,l,v,bn,ax,j,ao,p,t,e,k,az,c1
bx,ck,cg,bv,aa,ck,n,s,az,ct,q,af,at,be,bl,c2
bx,ac,s,an,m,bt,bn,ax,j,ak,bs,ah,av,aa,cj,c1
bf,bv,s,an,r,ao,bn,ax,j,cr,ag,be,ag,j,w,c1
bi,as,s,an,cc,b,bn,ax,j,ao,bw,bc,bh,ah,ci,c1
z,bu,s,an,ba,ag,bn,ax,j,cd,x,ct,t,h,bp,c1
bx,b,am,bv,aa,r,bo,r,bx,ct,p,af,ci,by,bp,c2
bx,cn,ah,bv,aa,cf,x,bt,y,ct,ca,af,bs,cd,am,c2
bx,bc,an,bv,aa,b,af,at,o,ct,cg,af,br,ab,ag,c2
bx,ad,bo,bv,aa,b,ck,cr,bc,ct,aq,af,j,w,af,c2
bh,br,s,an,bd,i,bn,ax,j,al,o,ab,ae,aq,y,c1
ba,h,s,an,am,i,bn,ax,j,ac,br,cr,bi,t,aj,c1
ar,ad,s,an,cr,b,bn,ax,j,ah,y,m,bn,bz,ao,c1
ci,av,s,an,bt,ci,bn,ax,j,bt,ac,ar,co,av,f,c1
bx,cb,bi,bv,aa,cu,al,bl,cb,ct,ci,af,u,an,ay,c2
bx,bm,z,bv,aa,cr,f,ah,au,ct,ag,af,g,bj,o,c2
ae,bh,s,an,ab,bb,bn,ax,j,ba,cq,bx,cc,b,bp,c1
bk,z,s,an,az,w,bn,ax,j,bq,y,t,t,ab,v,c1
bx,bq,be,bv,aa,az,ab,br,ak,ct,bn,af,ae,ax,i,c2
bl,n,s,an,be,cq,bn,ax,j,bf,ck,ci,cl,bo,ag,c1
bx,u,ad,bv,aa,al,ax,am,cg,ct,ag,af,ap,cr,ab,c2
ae,bh,s,an,ai,x,bn,ax,j,cl,m,ag,at,ai,bt,c1
bx,af,a,bv,aa,bg,cr,g,ae,ct,cd,af,x,y,ae,c2
j,bw,s,an,bk,x,bn,ax,j,aw,bx,ch,ba,j,ap,c1
ci,a,s,an,bq,an,bn,ax,j,f,bo,cq,cs,f,be,c1
bx,bf,ac,bv,aa,as,e,bb,ad,ct,cq,af,cb,y,f,c2
g,p,s,an,bc,by,bn,ax,j,bc,bx,bf,an,ad,bb,c1
j,d,s,an,r,co,bn,ax,j,bx,ci,w,m,ct,aw,c1
bx,bh,a,bv,aa,be,cv,aq,h,ct,cc,af,ba,aa,g,c2
bx,bz,bt,bv,aa,bk,bg,bj,av,ct,cq,af,bi,p,bj,c2
an,ao,s,an,bw,ct,bn,ax,j,u,ac,cd,ct,cs,bw,c1
bx,cu,z,bv,aa,ay,bs,aw,bu,ct,af,af,g,i,f,c2
bx,n,e,bv,aa,w,cb,af,v,ct,r,af,ax,z,bo,c2
k,ci,s,an,bo,cm,bn,ax,j,al,cg,y,bg,cj,h,c1
bx,aq,s,bv,aa,am,bj,bj,bn,ct,w,af,ag,m,ag,c2
bx,v,ae,bv,aa,bf,av,aw,bu,ct,ai,af,au,bi,t,c2
bl,al,s,an,ch,bm,bn,ax,j,af,ct,at,bf,ci,cv,c1
bx,bf,bk,bv,aa,i,cm,s,bs,ct,ap,af,e,r,w,c2
bx,aq,ao,bv,aa,be,v,ad,bj,ct,ab,af,ay,ac,m,c2
bx,bc,bp,bv,aa,cc,bj,br,cn,ct,ar,af,p,a,cn,c2
ac,ct,s,an,az,ce,bn,ax,j,cv,bm,ac,cm,ci,v,c1
bx,bt,bn,bv,aa,ac,bq,af,bc,ct,v,af,al,ad,cr,c2
al,ar,s,an,ck,cp,bn,ax,j,an,f,bb,o,cr,ca,c1
bx,bp,m,bv,aa,u,bv,bl,ad,ct,bx,af,cb,w,by,c2
bx,l,an,bv,aa,aw,bt,b,y,ct,bg,af,bf,cm,cg,c2
bx,bn,bh,bv,aa,bw,aa,w,bm,ct,bo,af,cd,bt,aw,c2
cj,aw,s,an,i,al,bn,ax,j,z,aw,ap,av,x,ae,c1
bx,ab,j,bv,aa,bc,an,ci,ck,ct,by,af,z,i,bx,c2
ar,ab,s,an,aa,ar,bn,ax,j,j,n,bf,af,bw,d,c1
bu,cm,s,an,cn,ct,bn,ax,j,i,ab,f,ba,z,cg,c1
v,b,s,an,bo,t,bn,ax,j,bf,am,ct,bq,bo,ce,c1
p,q,s,an,cs,n,bn,ax,j,d,r,cp,x,cq,ar,c1
bx,ag,am,bv,aa,a,cq,cd,bg,ct,ca,af,aq,bv,cq,c2
bx,a,bj,bv,aa,g,r,e,ac,ct,w,af,by,ae,bs,c2
bx,bn,ax,bv,aa,y,ca,n,bm,ct,ab,af,aw,ai,bs,c2
bx,ck,cq,bv,aa,bx,bq,ba,cf,ct,h,af,w,bj,ac,c2
bx,cf,y,bv,aa,cp,cc,p,ci,ct,bm,af,cv,bd,av,c2
bx,bn,cm,bv,aa,ae,i,bg,ct,ct,l,af,av,am,ac,c2
bx,g,bl,bv,aa,an,j,z,ao,ct,az,af,ct,z,cg,c2
bv,ap,s,an,v,cm,bn,ax,j,by,ah,bf,bd,az,ah,c1
bx,bm,h,bv,aa,aj,be,ar,ai,ct,o,af,aj,p,q,c2
bx,k,au,bv,aa,c,ai,ai,f,ct,a,af,b,co,bn,c2
d,u,s,an,ck,k,bn,ax,j,d,bk,bt,bm,ck,x,c1
bx,r,bo,bv,aa,ac,ab,cb,ad,ct,ac,af,cg,m,g,c2
az,bq,s,an,am,h,bn,ax,j,ca,c,bc,ca,a,ao,c1
bx,cc,ar,bv,aa,bs,u,bf,aw,ct,br,af,s,ag,t,c2
bq,bw,s,an,x,ar,bn,ax,j,ad,ci,p,by,g,by,c1
bx,ah,cr,bv,aa,ay,ad,cj,bm,ct,bg,af,bl,bf,aw,c2
bx,e,av,bv,aa,p,bs,e,cl,ct,bc,af,ar,bf,cg,c2
bx,y,bs,bv,aa,ah,bj,cr,ad,ct,aa,af,au,x,ao,c2
bx,cb,al,bv,aa,m,an,h,bo,ct,l,af,cs,h,ae,c2
bx,z,bs,bv,aa,g,l,e,bb,ct,an,af,aa,bk,bb,c2
bx,ae,bh,bv,aa,bo,cr,bc,h,ct,cs,af,bg,e,n,c2
bx,j,v,bv,aa,cu,bz,r,ap,ct,cf,af,bg,f,cf,c2
ai,ca,s,an,be,i,bn,ax,j,p,co,cm,a,cu,ct,c1
bx,ac,ab,bv,aa,bg,o,bl,o,ct,cd,af,a,cd,bt,c2
cn,h,s,an,v,bv,bn,ax,j,bo,w,ci,c,ac,cc,c1
l,bl,s,an,cm,br,bn,ax,j,ca,bi,ce,v,bz,am,c1
bx,bt,ba,bv,aa,cv,aa,bv,ck,ct,ck,af,cl,ac,by,c2
bx,bx,ay,bv,aa,ab,aa,bs,h,ct,av,af,av,cf,cq,c2
bx,ci,f,bv,aa,ce,am,bz,z,ct,cs,af,ce,k,au,c2
bx,af,b,bv,aa,ba,bf,cr,t,ct,o,af,g,cv,ca,c2
bn,bh,s,an,cu,x,bn,ax,j,bt,w,bq,x,bs,ac,c1
cu,y,s,an,cq,bo,bn,ax,j,bh,ax,bs,y,z,br,c1
s,i,s,an,ab,ad,bn,ax,j,bl,br,au,w,bp,aa,c1
ch,br,s,an,v,ct,bn,ax,j,ab,cl,ad,h,u,ag,c1
e,k,s,an,cg,i,bn,ax,j,e,bk,bv,bw,ae,cl,c1
bj,g,s,an,ak,bg,bn,ax,j,bo,bj,aw,by,am,ai,c1
bx,ar,ce,bv,aa,r,bb,al,cf,ct,ae,af,cm,af,bd,c2
bx,be,cc,bv,aa,ay,as,aq,ce,ct,cu,af,cs,ag,cl,c2
cg,bf,s,an,cv,i,bn,ax,j,u,ah,cs,n,ck,co,c1
v,d,s,an,cj,ak,bn,ax,j,cn,bi,am,av,as,cf,c1
bz,ap,s,an,cr,t,bn,ax,j,e,bw,cr,al,ap,ch,c1
bx,ab,j,bv,aa,as,v,be,am,ct,y,af,cv,az,u,c2
r,p,s,an,s,bu,bn,ax,j,n,ay,ce,p,ay,ai,c1
bx,ay,ch,bv,aa,ak,p,t,n,ct,cm,af,v,c,ba,c2
bb,s,s,an,b,j,bn,ax,j,f,a,ad,bt,br,cu,c1
bx,at,bq,bv,aa,i,ad,bq,ak,ct,aw,af,cu,p,ac,c2
bx,ab,al,bv,aa,ak,ay,bl,x,ct,cb,af,cr,ap,av,c2
bx,be,bo,bv,aa,bl,ar,f,bv,ct,bg,af,cg,bo,ae,c2
bx,bk,ah,bv,aa,m,cq,ck,f,ct,aj,af,az,bq,be,c2
br,cd,s,an,p,b,bn,ax,j,aq,c,q,be,w,y,c1
ch,ah,s,an,z,al,bn,ax,j,j,s,cn,bi,i,n,c1
bx,bi,cl,bv,aa,co,ae,ak,i,ct,aq,af,o,ch,a,c2
q,bm,s,an,ad,ck,bn,ax,j,bk,cb,ax,f,ap,bo,c1
bx,ah,co,bv,aa,bs,b,u,aj,ct,av,af,bs,bx,ab,c2
bx,bl,bn,bv,aa,bf,d,bp,c,ct,l,af,cv,bj,cj,c2
z,d,s,an,ae,cp,bn,ax,j,bi,aj,ct,cr,o,cu,c1
bx,bw,ce,bv,aa,ah,cm,r,aj,ct,by,af,cd,ar,bv,c2
ca,bj,s,an,j,ao,bn,ax,j,aq,bz,ci,av,bm,ck,c1
am,bj,s,an,ad,cj,bn,ax,j,l,by,o,cg,ad,bi,c1
bx,ad,bi,bv,aa,bu,bc,b,p,ct,o,af,bf,bf,c,c2
cd,ci,s,an,r,f,bn,ax,j,cf,k,bt,m,cu,ce,c1
bo,ba,s,an,cj,v,bn,ax,j,cn,au,be,e,bw,an,c1
bx,v,av,bv,aa,t,ca,cu,j,ct,bs,af,g,av,aj,c2
bx,n,b,bv,aa,ay,cb,af,bz,ct,y,af,am,af,ar,c2
aa,ar,s,an,ar,ch,bn,ax,j,bp,af,w,n,bc,ct,c1
bx,f,b,bv,aa,aq,bj,ct,z,ct,u,af,ct,g,bt,c2
bx,bp,as,bv,aa,bl,bi,aa,be,ct,bu,af,aj,bm,am,c2
bx,l,ci,bv,aa,be,c,an,g,ct,cu,af,bw,bl,at,c2
ao,br,s,an,t,av,bn,ax,j,bx,cu,by,a,av,cs,c1
bx,ax,ck,bv,aa,o,bg,cm,ab,ct,bi,af,bt,ak,ae,c2
bx,an,aw,bv,aa,cl,ac,cg,l,ct,cm,af,ct,cd,at,c2
bx,ag,bl,bv,aa,bc,ae,ct,b,ct,ct,af,l,a,ci,c2
l,aa,s,an,ae,bt,bn,ax,j,au,bb,cb,al,h,t,c1
ct,bz,s,an,av,n,bn,ax,j,f,q,cr,ak,cr,av,c1
bx,p,d,bv,aa,cl,ct,au,an,ct,ct,af,ci,l,am,c2
bx,ar,ag,bv,aa,ch,ch,e,bh,ct,bu,af,ay,ba,cf,c2
bx,cr,ck,bv,aa,bm,av,l,f,ct,o,af,i,bx,cj,c2
bx,m,au,bv,aa,co,b,u,i,ct,bo,af,bq,bo,cd,c2
bx,bg,cg,bv,aa,bw,am,cv,cr,ct,ck,af,cr,bh,co,c2
cc,cs,s,an,ci,as,bn,ax,j,by,bj,ad,c,bl,j,c1
bx,cj,ar,bv,aa,s,bj,cq,co,ct,b,af,f,ay,az,c2
n,cq,s,an,bm,m,bn,ax,j,ck,bh,bi,ap,w,b,c1
bx,ce,af,bv,aa,cl,at,au,o,ct,bt,af,by,an,bv,c2
f,bt,s,an,aq,bz,bn,ax,j,cp,ct,cs,ch,cr,ab,c1
bx,br,cn,bv,aa,ck,cc,t,c,ct,cg,af,bg,bp,bc,c2
bg,cm,s,an,cn,h,bn,ax,j,af,b,br,br,bu,cd,c1
ca,aw,s,an,ai,aw,bn,ax,j,az,bo,ab,t,e,bx,c1
bx,bi,c,bv,aa,b,ao,bx,u,ct,be,af,ah,ax,bc,c2
ca,z,s,an,v,cr,bn,ax,j,av,au,bh,bt,cl,ad,c1
cd,ap,s,an,m,bn,bn,ax,j,i,ay,q,cl,ar,ab,c1
bx,cf,bf,bv,aa,l,by,d,bd,ct,ax,af,bk,j,bw,c2
bu,bm,s,an,br,bd,bn,ax,j,v,r,bp,ak,g,av,c1
cc,al,s,an,x,bd,bn,ax,j,br,cn,r,cu,ah,q,c1
bx,p,c,bv,aa,ar,an,bc,aa,ct,bc,af,bm,ch,aa,c2
ac,z,s,an,f,bp,bn,ax,j,ck,f,bn,z,cp,k,c1
av,t,s,an,ce,bq,bn,ax,j,bt,bc,bh,i,cn,r,c1
bx,cn,cn,bv,aa,aj,ai,u,l,ct,bh,af,am,q,e,c2
cn,b,s,an,br,cs,bn,ax,j,ap,cr,cj,c,cv,w,c1
bx,cp,e,bv,aa,bb,ce,x,w,ct,p,af,bl,cq,co,c2
bx,at,bs,bv,aa,bm,az,l,aa,ct,ba,af,br,bo,bp,c2
g,k,s,an,n,ad,bn,ax,j,i,bv,co,az,ab,g,c1
u,w,s,an,bo,ap,bn,ax,j,r,bs,g,o,cj,p,c1
bx,ca,g,bv,aa,cr,ag,bc,ap,ct,bl,af,bc,cb,ad,c2
bx,z,by,bv,aa,bw,cv,a,by,ct,ax,af,bl,aw,ax,c2
bx,l,n,bv,aa,bk,a,bs,bj,ct,o,af,j,z,as,c2
bx,bt,bu,bv,aa,ap,cm,ad,br,ct,ct,af,cm,al,ch,c2
cv,bp,s,an,c,by,bn,ax,j,u,bx,bg,f,g,cm,c1
bs,f,s,an,o,cr,bn,ax,j,ce,cu,bu,cu,au,bi,c1
ab,cj,s,an,o,v,bn,ax,j,cq,p,cb,bj,bn,bv,c1
bx,bx,bf,bv,aa,q,cg,ak,q,ct,ao,af,cr,y,au,c2
bx,cg,g,bv,aa,z,ck,bm,w,ct,bu,af,ce,k,bz,c2
bx,p,x,bv,aa,bb,ap,bn,ar,ct,bk,af,i,af,av,c2
cf,l,s,an,cc,h,bn,ax,j,av,cf,c,af,ap,z,c1
bx,ci,bm,bv,aa,bx,f,cg,az,ct,bk,af,c,al,q,c2
ag,bl,s,an,bt,ai,bn,ax,j,co,bi,m,bu,l,aq,c1
bx,ad,m,bv,aa,h,r,cm,ac,ct,y,af,ap,z,ax,c2
ao,bv,s,an,cu,o,bn,ax,j,cj,aw,m,am,bf,bw,c1
bf,cj,s,an,az,cd,bn,ax,j,bl,e,y,ap,al,r,c1
aj,al,s,an,c,a,bn,ax,j,ch,ai,cv,bl,ba,h,c1
bb,ad,s,an,af,bq,bn,ax,j,ct,ah,ar,by,u,bf,c1
ax,ah,s,an,bc,ai,bn,ax,j,cd,ah,ak,aq,ah,ai,c1
bx,ao,cd,bv,aa,af,l,as,z,ct,cj,af,bw,ad,g,c2
ao,bn,s,an,y,co,bn,ax,j,v,s,an,bb,be,ae,c1
bx,r,cu,bv,aa,ax,cm,aq,bq,ct,bn,af,bi,q,c,c2
bf,f,s,an,an,ce,bn,ax,j,ad,aw,br,k,t,bw,c1
bx,ao,br,bv,aa,bs,ae,aw,bu,ct,ap,af,ct,by,r,c2
bx,bp,cv,bv,aa,am,c,bz,cl,ct,u,af,cb,n,ca,c2
bx,ah,y,bv,aa,ai,an,af,ba,ct,s,af,bt,cm,bo,c2
cl,bl,s,an,k,bf,bn,ax,j,bl,u,p,s,au,bl,c1
br,j,s,an,ad,x,bn,ax,j,co,bh,n,bs,r,ap,c1
ar,c,s,an,bo,aw,bn,ax,j,e,q,s,cf,cl,ao,c1
al,i,s,an,v,cc,bn,ax,j,an,y,ab,k,cg,y,c1
ba,bu,s,an,bf,o,bn,ax,j,bv,af,ar,bm,cu,ao,c1
al,i,s,an,cg,bg,bn,ax,j,bt,bv,co,bk,ac,aa,c1
bx,bh,bj,bv,aa,ax,az,bd,an,ct,bl,af,ch,bj,ba,c2
h,ap,s,an,f,ak,bn,ax,j,an,cl,ap,n,ac,c,c1
bm,aw,s,an,k,bs,bn,ax,j,bf,cp,cb,v,n,g,c1
bx,bw,aj,bv,aa,bq,bb,f,d,ct,bg,af,ai,cu,ct,c2
bx,bw,ay,bv,aa,be,bm,o,co,ct,ae,af,ct,cc,bh,c2
bx,cu,bh,bv,aa,cp,bk,f,cr,ct,bm,af,cl,bu,bn,c2
j,al,s,an,bn,ah,bn,ax,j,cv,av,p,cu,cu,ap,c1
bx,ce,az,bv,aa,cg,ap,by,bd,ct,bg,af,al,aj,n,c2
bx,cb,ae,bv,aa,bi,cu,ba,h,ct,bg,af,bc,az,cn,c2
bx,al,ak,bv,aa,bd,bm,ce,bs,ct,ac,af,ci,bi,ad,c2
bx,x,cv,bv,aa,bh,cp,q,bj,ct,ce,af,as,ch,bb,c2
aq,am,s,an,ce,h,bn,ax,j,t,ar,cl,am,cm,ai,c1
bx,br,bd,bv,aa,aw,bd,ag,al,ct,av,af,bu,au,bv,c2
bx,bk,bh,bv,aa,al,d,cs,s,ct,j,af,cb,s,e,c2
bx,bh,e,bv,aa,x,q,bb,an,ct,cg,af,bl,cs,aq,c2
l,ci,s,an,bf,bv,bn,ax,j,d,ci,bs,bu,r,ad,c1
bx,cr,bh,bv,aa,am,au,cs,cp,ct,bi,af,ae,ao,bb,c2
bx,cs,bg,bv,aa,cj,cl,ao,bw,ct,x,af,cg,bs,av,c2
bx,ab,bb,bv,aa,af,aq,ca,bm,ct,e,af,bi,au,cr,c2
bf,bb,s,an,bx,ae,bn,ax,j,cn,bj,bj,v,av,cs,c1
bx,ck,ay,bv,aa,bc,cv,s,cj,ct,bk,af,bz,bs,bj,c2
s,cd,s,an,q,ak,bn,ax,j,f,an,h,cu,ce,be,c1
bk,p,s,an,bj,at,bn,ax,j,cp,bg,ao,o,bn,e,c1
cj,f,s,an,ax,bf,bn,ax,j,af,ca,cd,m,cr,k,c1
bx,cu,y,bv,aa,j,cu,cb,cj,ct,bz,af,bq,r,cl,c2
an,g,s,an,a,bo,bn,ax,j,k,bs,ar,bi,x,ce,c1
l,ac,s,an,ae,aj,bn,ax,j,bs,ay,v,bq,aq,l,c1
cv,ao,s,an,j,co,bn,ax,j,by,ah,ck,au,ci,f,c1
bj,bq,s,an,q,aa,bn,ax,j,br,bv,m,r,w,ct,c1
bx,bg,x,bv,aa,o,h,u,ba,ct,cj,af,ar,bl,bm,c2
bx,t,j,bv,aa,bl,ac,cv,bs,ct,p,af,bc,b,by,c2
q,b,s,an,k,ct,bn,ax,j,cf,cg,o,au,m,bq,c1
bx,y,s,bv,aa,cb,ax,ag,r,ct,br,af,ch,r,aq,c2
bh,cq,s,an,ay,cj,bn,ax,j,p,bk,h,br,ch,cp,c1
bx,au,ag,bv,aa,cc,an,bu,ae,ct,cn,af,al,ct,bt,c2
az,l,s,an,bm,ao,bn,ax,j,ba,bg,al,an,g,bl,c1
bx,cv,bn,bv,aa,bh,ak,bx,bz,ct,bx,af,cf,ch,ao,c2
bx,as,ck,bv,aa,q,bs,bb,cc,ct,ai,af,ap,ab,ct,c2
aj,ba,s,an,f,bl,bn,ax,j,bq,w,bt,cg,am,cv,c1
cl,an,s,an,a,g,bn,ax,j,cb,bx,bv,az,ba,ck,c1
bf,bx,s,an,o,bk,bn,ax,j,by,au,ck,h,aw,ap,c1
bx,an,h,bv,aa,z,cs,ab,ar,ct,cr,af,s,aw,bh,c2
an,bv,s,an,bn,bj,bn,ax,j,ah,bs,bf,bh,ak,ai,c1
a,cl,s,an,at,ah,bn,ax,j,am,h,cp,ao,k,ar,c1
bx,ba,ac,bv,aa,m,e,ar,ae,ct,bn,af,cr,bv,am,c2
bf,bf,s,an,n,ad,bn,ax,j,au,l,l,co,w,au,c1
bx,bu,ag,bv,aa,cb,bb,br,ch,ct,bt,af,at,bw,cr,c2
bv,j,s,an,ae,bs,bn,ax,j,cp,au,br,ap,br,af,c1
bx,ar,au,bv,aa,cs,cm,cd,bv,ct,bi,af,m,l,cv,c2
h,d,s,an,ch,bh,bn,ax,j,f,bf,l,m,ax,cd,c1
