@relation data_100_20_5_10_10_500

@attribute A1 {q,e,h,g,d,b,a,m,l,s,p,j,i,r,f,o,c,t,n,k}
@attribute A2 {n,c,k,a,d,o,q,s,t,r,e,p,g,f,i,m,j,h,b,l}
@attribute A3 {o,b,c,a,m,q,e,p,s,h,i,n,k,j,t,r,l,d,f,g}
@attribute A4 {h,q,b,l,t,g,p,j,e,o,k,m,r,d,f,s,n,c,a,i}
@attribute A5 {r,j,d,a,p,h,c,e,l,m,q,g,t,n,b,i,f,o,s,k}
@attribute A6 {t,a,q,k,s,h,f,m,i,r,o,l,d,j,c,b,p,g,n,e}
@attribute A7 {j,c,h,l,r,k,d,f,a,i,s,n,e,b,t,q,g,p,o,m}
@attribute A8 {s,j,h,a,q,n,d,r,p,c,m,t,k,e,o,f,i,g,l,b}
@attribute A9 {m,r,k,b,i,f,h,n,d,o,q,p,l,a,s,c,e,t,j,g}
@attribute A10 {d,a,o,h,j,s,t,e,l,c,m,k,r,b,n,g,q,f,p,i}
@attribute A11 {p,o,i,j,f,d,s,l,n,t,r,m,a,g,q,k,b,c,e,h}
@attribute A12 {t,r,q,e,i,k,s,j,b,a,d,f,g,c,h,l,o,p,n,m}
@attribute A13 {b,h,g,s,e,l,c,j,t,o,d,i,f,n,a,k,p,q,r,m}
@attribute A14 {l,t,o,r,m,s,p,f,c,a,g,n,q,h,k,j,d,e,i,b}
@attribute A15 {t,k,a,g,q,n,f,o,h,c,m,b,j,l,e,r,d,p,i,s}
@attribute A16 {j,a,d,f,p,c,k,e,i,n,q,l,h,g,s,r,t,o,b,m}
@attribute A17 {d,i,f,s,t,n,o,l,e,b,q,g,j,a,p,m,h,c,r,k}
@attribute A18 {g,c,i,n,r,f,o,s,a,q,b,h,m,l,j,t,k,d,p,e}
@attribute A19 {f,o,p,n,c,l,q,j,i,k,r,d,s,m,g,e,t,a,h,b}
@attribute A20 {e,g,a,m,f,s,t,p,l,o,q,j,d,b,c,n,r,h,i,k}
@attribute A21 {k,e,l,b,f,n,d,a,q,j,s,r,t,o,h,c,p,i,m,g}
@attribute A22 {o,f,r,q,j,d,t,p,i,l,m,n,g,s,a,c,k,h,e,b}
@attribute A23 {n,l,c,o,h,g,q,b,t,a,i,k,f,s,j,m,r,d,p,e}
@attribute A24 {t,f,m,g,a,h,s,i,e,n,k,c,b,j,r,l,o,q,d,p}
@attribute A25 {q,a,c,j,r,g,e,p,f,s,m,n,d,i,b,t,o,k,l,h}
@attribute A26 {c,f,g,q,d,j,m,i,n,s,l,b,o,k,h,a,r,t,p,e}
@attribute A27 {b,n,s,f,p,d,o,h,i,r,g,c,q,l,k,m,a,t,j,e}
@attribute A28 {o,t,r,l,k,q,i,n,c,h,f,g,s,j,d,p,b,m,a,e}
@attribute A29 {l,f,k,n,i,c,m,j,b,s,g,p,q,a,d,e,h,r,o,t}
@attribute A30 {s,k,c,g,q,e,h,f,p,d,t,a,r,o,b,i,l,n,j,m}
@attribute A31 {k,g,j,p,i,a,o,d,n,e,c,h,l,q,b,s,m,t,r,f}
@attribute A32 {d,l,m,j,a,c,k,g,r,s,p,b,q,o,t,i,n,h,f,e}
@attribute A33 {q,a,f,j,c,e,k,i,n,o,g,r,b,d,h,s,t,p,l,m}
@attribute A34 {t,a,p,b,l,s,n,f,r,k,e,j,o,m,q,g,d,c,i,h}
@attribute A35 {k,b,l,d,i,a,m,g,r,n,o,j,c,p,t,q,f,e,s,h}
@attribute A36 {o,m,h,d,c,f,t,i,e,r,n,q,b,j,l,p,s,a,k,g}
@attribute A37 {l,f,k,d,s,c,p,r,a,o,h,n,b,q,m,t,j,g,e,i}
@attribute A38 {l,p,n,j,b,g,a,t,h,r,c,f,d,o,i,k,q,m,s,e}
@attribute A39 {m,g,e,f,i,a,s,o,j,c,d,q,k,t,l,r,p,b,n,h}
@attribute A40 {o,f,r,b,d,q,h,e,l,j,a,n,t,k,m,p,c,s,i,g}
@attribute A41 {r,m,f,j,l,b,s,e,g,o,c,k,t,n,a,h,d,i,p,q}
@attribute A42 {j,b,m,h,d,g,k,r,n,q,l,f,t,e,s,a,p,c,o,i}
@attribute A43 {k,b,p,j,m,s,n,d,o,c,q,r,i,a,f,t,g,h,l,e}
@attribute A44 {t,n,q,f,k,b,g,r,c,i,d,s,l,m,a,h,o,e,j,p}
@attribute A45 {g,t,b,i,q,o,m,j,k,s,e,r,p,l,a,h,n,f,d,c}
@attribute A46 {c,t,h,f,k,q,b,d,l,s,i,p,n,g,r,m,e,o,j,a}
@attribute A47 {d,t,l,j,h,f,s,m,g,o,q,c,b,r,a,e,k,n,i,p}
@attribute A48 {r,s,i,q,c,a,b,f,j,g,t,l,o,n,m,k,e,d,p,h}
@attribute A49 {j,g,o,r,m,d,b,p,k,f,n,e,i,q,l,t,c,s,a,h}
@attribute A50 {h,l,g,t,p,m,f,a,i,r,b,s,d,k,q,c,o,e,j,n}
@attribute A51 {b,i,p,c,j,g,f,d,n,k,m,s,t,q,l,h,o,a,r,e}
@attribute A52 {k,j,q,n,l,a,p,e,m,s,t,g,c,o,f,b,d,r,i,h}
@attribute A53 {t,r,o,d,e,g,n,c,b,s,k,j,f,a,l,i,m,q,p,h}
@attribute A54 {b,t,k,f,q,g,m,r,c,d,a,j,l,p,o,h,e,n,i,s}
@attribute A55 {f,h,k,o,m,t,l,j,i,e,q,c,g,p,n,a,s,d,r,b}
@attribute A56 {r,n,g,c,l,j,h,e,b,s,p,t,f,a,d,k,m,o,i,q}
@attribute A57 {t,a,n,j,g,i,q,k,r,p,l,s,m,h,b,c,e,f,o,d}
@attribute A58 {t,r,f,m,h,c,o,s,g,k,n,d,b,i,q,l,p,j,e,a}
@attribute A59 {k,l,p,g,b,r,n,j,c,m,s,o,f,h,e,i,t,a,q,d}
@attribute A60 {c,r,h,j,m,g,s,k,o,f,i,d,a,p,e,t,l,n,b,q}
@attribute A61 {f,n,j,r,k,p,a,q,i,m,b,t,e,h,c,l,o,s,g,d}
@attribute A62 {b,e,l,j,d,k,f,r,n,c,i,a,s,g,q,m,h,o,t,p}
@attribute A63 {b,r,p,j,a,l,m,o,f,q,i,n,c,g,e,d,h,s,k,t}
@attribute A64 {k,l,n,m,s,i,h,b,c,t,j,d,r,q,p,o,g,f,a,e}
@attribute A65 {q,m,j,k,t,o,l,h,c,a,s,b,p,i,r,d,e,g,f,n}
@attribute A66 {t,j,k,g,i,c,s,o,h,e,d,b,f,a,r,n,p,l,q,m}
@attribute A67 {i,f,n,q,l,b,e,o,s,r,m,g,d,j,h,c,k,a,t,p}
@attribute A68 {a,m,r,h,j,p,k,q,e,d,c,i,n,b,l,s,o,g,f,t}
@attribute A69 {c,a,t,l,b,s,e,f,m,k,n,q,r,j,p,i,d,g,h,o}
@attribute A70 {b,p,d,q,a,m,k,c,f,r,n,g,l,s,i,e,o,j,h,t}
@attribute A71 {p,h,s,n,m,k,q,f,e,l,d,o,j,t,g,i,c,b,r,a}
@attribute A72 {p,q,t,n,k,f,l,s,a,j,d,m,c,e,r,g,b,h,o,i}
@attribute A73 {t,j,g,s,h,k,n,f,q,a,o,l,e,d,b,c,i,r,m,p}
@attribute A74 {j,g,n,d,a,t,h,q,b,o,r,c,m,p,k,f,e,l,s,i}
@attribute A75 {h,e,o,p,k,f,a,c,s,d,t,n,i,m,b,g,r,l,j,q}
@attribute A76 {p,f,g,h,a,o,n,c,e,s,m,r,k,i,b,t,l,q,j,d}
@attribute A77 {p,f,b,s,d,h,g,a,i,n,k,t,l,q,e,o,m,j,c,r}
@attribute A78 {n,p,q,d,s,b,l,j,c,t,e,r,i,h,o,m,k,f,a,g}
@attribute A79 {q,r,j,s,o,n,a,t,m,b,l,h,k,d,e,c,p,f,g,i}
@attribute A80 {k,h,l,p,s,r,n,b,t,i,f,d,m,o,e,a,g,q,j,c}
@attribute A81 {a,t,s,p,b,r,g,j,e,q,f,c,d,n,h,m,l,i,o,k}
@attribute A82 {k,d,m,e,o,l,t,c,g,a,s,n,p,q,j,i,h,r,f,b}
@attribute A83 {t,i,e,m,o,s,d,l,h,n,g,q,k,f,a,b,c,r,p,j}
@attribute A84 {a,j,d,f,n,t,q,m,r,p,o,h,l,k,g,c,b,s,e,i}
@attribute A85 {l,q,n,c,t,r,a,e,m,j,g,o,p,h,s,f,k,b,d,i}
@attribute A86 {a,c,k,d,t,o,f,q,l,m,b,n,h,e,j,p,i,r,s,g}
@attribute A87 {a,b,e,i,s,h,o,j,m,d,c,f,g,n,p,r,l,k,t,q}
@attribute A88 {b,o,s,f,j,c,e,r,m,p,l,k,h,n,t,a,g,i,q,d}
@attribute A89 {n,e,o,b,l,m,f,j,g,d,i,s,p,c,q,k,t,h,r,a}
@attribute A90 {l,j,n,s,p,a,c,g,h,m,e,r,t,b,f,o,k,i,d,q}
@attribute A91 {j,a,e,k,d,q,n,b,o,p,t,f,i,h,l,r,s,m,c,g}
@attribute A92 {i,e,f,c,r,s,d,a,m,t,k,l,g,p,h,o,j,b,n,q}
@attribute A93 {r,a,j,i,n,k,l,m,c,g,t,p,e,o,q,d,b,h,s,f}
@attribute A94 {h,m,e,s,t,b,q,o,j,c,p,n,f,d,g,r,i,a,l,k}
@attribute A95 {l,p,r,k,s,m,f,o,t,c,g,n,e,j,i,a,d,q,b,h}
@attribute A96 {m,q,r,n,b,l,g,t,h,a,s,e,i,c,d,p,j,k,o,f}
@attribute A97 {q,d,s,h,j,c,k,g,m,r,f,n,e,l,b,p,a,t,o,i}
@attribute A98 {q,h,i,l,n,p,o,a,t,f,g,e,r,d,c,k,m,b,s,j}
@attribute A99 {o,h,t,p,a,g,b,m,l,i,j,e,q,r,f,n,c,d,k,s}
@attribute A100 {e,m,c,o,f,g,i,s,t,r,k,h,l,b,p,j,d,n,a,q}
@attribute Class {c4,c3,c2,c1,c5}

@data
n,n,s,h,b,b,c,a,t,a,a,f,m,c,p,j,i,g,r,h,o,e,o,c,b,j,b,m,s,a,i,j,g,r,j,m,f,p,q,m,f,b,t,n,n,k,q,q,i,a,i,j,n,o,c,n,r,n,n,b,p,f,d,o,r,g,s,o,d,p,m,q,a,d,b,k,b,f,h,f,l,t,r,q,m,c,e,b,d,j,a,m,e,m,f,d,i,l,t,l,c3
k,c,i,s,r,l,c,o,k,a,p,i,n,p,t,l,i,t,s,g,r,n,b,h,b,l,l,e,j,c,t,m,f,o,c,m,f,p,m,r,r,m,b,o,i,f,g,p,n,b,i,c,l,h,a,n,c,i,b,k,i,c,m,a,f,m,q,s,c,p,r,s,i,g,j,f,s,l,f,s,m,k,a,d,f,c,b,d,k,h,d,e,s,m,h,c,o,s,t,i,c3
i,l,f,t,a,f,c,s,i,a,a,j,g,i,f,n,i,j,g,h,d,q,a,d,q,t,e,b,e,a,m,m,l,s,q,m,f,p,m,r,g,l,l,g,o,o,s,m,f,m,i,o,s,d,k,n,i,a,o,m,g,s,r,l,p,o,r,i,l,p,a,k,n,j,g,t,c,h,g,h,a,q,j,t,s,c,c,k,i,e,d,g,i,m,d,p,d,g,k,n,c3
m,r,c,m,j,q,p,b,a,p,t,f,g,n,r,d,j,c,p,q,l,r,o,g,n,g,b,m,f,c,a,m,o,f,q,r,s,e,q,r,o,l,l,n,m,c,c,q,p,h,p,f,p,c,a,r,n,a,j,e,b,l,a,i,p,k,n,g,c,n,j,l,c,r,e,n,k,e,r,s,k,l,l,d,q,g,f,m,o,c,r,o,s,i,c,e,m,s,t,c,c2
l,t,a,j,m,l,n,e,e,l,a,f,d,d,t,s,e,g,s,j,c,d,m,d,e,s,q,j,s,m,k,p,i,i,t,o,l,c,h,o,j,f,k,s,e,t,s,d,a,p,i,r,a,n,c,r,t,f,a,c,f,o,m,i,c,e,n,a,c,d,c,t,e,r,l,n,o,n,i,k,k,j,f,e,i,r,a,e,i,a,j,k,g,f,o,n,n,j,i,b,c4
t,p,t,k,o,a,m,e,t,d,t,t,a,b,t,q,r,h,l,i,l,b,d,m,l,o,t,s,h,a,s,q,a,g,j,h,f,n,a,p,d,r,k,q,l,h,o,b,h,i,q,r,s,j,s,r,t,n,m,c,f,k,b,k,b,f,e,a,m,k,e,d,f,e,a,h,n,n,q,k,n,f,s,m,s,n,a,j,a,i,j,m,o,k,k,a,l,c,c,i,c4
d,g,j,c,l,c,e,p,d,t,j,f,q,m,q,p,m,q,m,b,n,f,g,l,l,j,n,d,t,p,l,c,h,l,m,l,o,d,r,r,q,t,b,d,g,g,s,e,g,f,p,c,m,k,l,r,k,q,c,f,m,j,d,j,c,n,j,o,c,j,i,i,b,a,i,s,s,k,i,q,j,l,e,p,n,i,f,n,a,e,d,q,m,j,f,h,m,k,b,d,c5
d,b,g,a,t,f,n,b,d,t,f,l,l,e,a,g,r,q,d,o,i,f,g,i,p,j,o,g,h,d,j,b,p,c,s,k,c,c,f,d,f,r,n,b,n,d,h,c,m,m,l,p,q,d,l,b,q,m,j,k,t,b,c,i,m,m,b,c,m,t,p,q,p,j,t,s,f,q,h,o,j,l,q,d,d,p,m,q,p,q,d,r,k,q,l,t,m,f,b,s,c5
d,b,s,m,h,d,c,n,k,a,c,s,b,d,t,f,a,q,c,k,i,l,s,i,h,p,i,b,o,g,q,a,t,t,o,b,s,e,o,i,g,l,k,p,i,j,r,g,l,r,m,g,f,p,c,r,t,k,b,c,f,h,a,c,e,r,k,a,o,f,k,m,h,j,j,a,e,n,q,k,n,n,p,m,l,t,a,b,s,d,j,m,n,m,m,o,e,l,b,n,c4
b,l,s,n,m,r,i,g,k,k,f,d,l,q,f,m,s,n,p,o,m,t,s,n,d,q,f,o,k,s,l,j,l,t,k,p,q,q,f,e,n,i,e,p,s,c,p,f,g,t,q,t,a,f,i,j,e,h,m,j,q,t,i,p,h,k,p,r,t,o,t,q,j,r,l,d,a,m,r,q,r,g,j,f,r,g,p,s,o,r,e,p,d,q,q,h,i,n,c,r,c1
e,e,c,f,e,q,t,i,q,m,c,b,t,a,d,d,c,p,p,m,l,i,s,j,g,g,t,l,a,c,d,m,n,c,b,a,r,c,f,f,j,c,r,q,t,h,s,b,e,n,p,b,n,a,g,i,n,e,s,o,b,m,c,m,n,h,g,h,m,e,t,a,r,p,b,j,a,f,f,c,j,m,i,d,m,g,h,f,s,b,m,h,c,s,s,s,i,p,s,c,c2
m,i,h,p,e,a,t,q,f,d,j,r,m,e,q,b,s,n,b,l,h,a,c,s,g,h,i,o,k,h,f,j,p,d,n,h,s,s,f,p,b,c,r,i,b,g,h,q,p,t,n,d,m,n,s,p,o,j,n,j,m,s,r,d,h,h,j,r,t,m,r,s,s,m,k,i,h,k,q,t,h,p,l,f,l,t,s,e,e,m,e,k,b,m,k,q,m,n,a,b,c1
d,g,o,i,k,s,e,o,d,t,f,c,b,r,d,g,p,q,l,l,r,a,g,r,h,j,i,k,s,t,i,p,i,k,i,e,s,m,p,f,e,d,b,c,p,h,h,s,m,i,g,l,a,r,l,i,e,b,b,q,f,t,s,e,r,i,s,q,g,m,n,q,m,g,p,s,d,q,p,l,a,p,d,q,m,l,p,c,e,d,d,t,k,p,f,j,m,m,b,d,c5
d,e,d,q,m,s,b,m,b,c,k,f,o,n,t,d,k,d,o,b,k,s,s,c,b,b,b,o,j,e,g,a,a,r,j,r,o,t,p,e,q,r,k,f,k,i,o,q,a,a,s,h,s,t,b,r,t,p,j,c,f,p,j,j,a,c,n,a,i,b,b,a,m,f,a,k,o,n,q,k,k,j,f,o,g,o,a,l,i,a,j,b,i,m,e,q,i,a,j,n,c4
d,j,b,h,s,e,p,h,d,t,s,e,l,i,o,j,b,q,r,l,b,g,g,r,h,j,i,m,c,d,b,j,e,q,i,b,b,m,c,j,r,p,h,j,d,i,n,h,j,c,k,o,h,i,l,h,h,r,t,i,h,o,o,m,r,l,o,a,m,a,g,n,h,m,r,s,i,t,h,t,n,e,k,r,j,p,j,t,q,s,d,h,k,t,t,f,m,i,b,i,c5
d,f,m,g,s,q,k,j,d,t,k,c,s,p,k,e,d,q,c,l,r,e,g,h,a,j,f,m,b,q,g,g,i,q,d,l,b,o,e,e,p,t,f,q,d,h,l,l,i,i,e,a,k,e,l,a,t,p,i,n,c,h,a,p,i,e,j,o,j,g,b,s,e,p,o,s,m,s,p,i,s,q,t,i,a,p,t,r,o,e,d,p,n,f,g,q,m,m,b,r,c5
d,q,j,o,j,n,j,n,d,t,a,e,t,p,d,k,i,q,n,h,a,h,g,h,g,j,m,n,l,i,s,g,n,s,m,j,q,m,m,t,q,o,c,q,h,f,o,q,o,q,q,n,q,f,l,c,c,b,k,n,i,t,f,h,l,l,k,o,a,o,s,l,k,s,s,s,o,h,h,e,p,l,s,m,m,l,c,b,s,q,d,p,o,j,m,t,m,g,b,m,c5
a,d,c,b,g,p,b,f,g,t,d,m,q,h,c,s,s,n,r,t,e,h,j,b,n,r,c,o,k,s,p,j,p,a,d,t,g,i,f,l,a,q,q,m,d,d,r,m,m,t,n,b,q,n,c,j,g,t,g,j,c,b,f,h,c,o,c,r,t,s,a,a,d,c,k,q,j,a,q,l,n,h,b,f,d,c,b,j,n,h,i,o,r,k,s,j,g,h,f,i,c1
n,d,i,d,k,t,p,g,s,n,m,a,p,t,t,e,h,k,n,j,a,q,g,q,n,q,e,m,o,f,h,f,h,d,j,r,l,s,h,j,o,i,k,e,q,i,l,e,k,t,o,s,a,a,c,r,t,e,f,c,f,j,b,l,n,i,h,a,a,h,e,s,e,e,c,d,e,n,f,k,t,p,c,r,c,j,a,l,r,b,j,m,l,a,h,a,q,o,q,f,c4
d,h,f,m,g,p,d,d,d,t,b,p,l,j,b,c,l,q,s,h,i,k,g,r,d,j,h,b,j,g,n,k,g,s,q,p,i,e,e,j,c,d,c,s,c,s,c,o,j,p,g,l,k,s,l,m,r,o,f,q,r,b,k,b,d,b,b,f,o,t,c,h,l,f,h,s,t,c,s,n,q,a,b,q,s,o,m,g,a,e,d,p,g,g,n,n,m,s,b,o,c5
d,b,d,a,g,q,c,c,d,t,t,b,a,g,h,q,i,q,q,c,d,c,g,s,l,j,q,i,s,f,p,i,g,l,q,s,j,p,g,o,i,e,h,m,k,o,a,p,l,f,k,j,p,p,l,c,d,d,r,i,b,o,j,n,e,h,p,f,p,b,t,g,g,t,g,s,k,q,e,g,r,r,d,f,p,m,r,g,b,p,d,q,e,a,f,s,m,g,b,p,c5
h,r,c,t,l,c,c,n,g,a,q,q,l,b,l,m,i,c,i,q,i,a,b,a,o,j,t,q,k,l,a,e,m,d,s,m,f,p,h,n,d,a,l,a,i,p,a,h,j,d,i,e,n,s,t,n,t,d,i,b,f,e,l,g,g,i,h,m,b,p,c,j,p,h,b,r,r,s,n,m,k,g,m,f,n,c,k,h,n,o,b,m,o,m,l,c,o,i,k,l,c3
d,h,q,l,c,q,q,g,c,a,k,b,g,h,t,b,i,o,p,k,f,f,r,b,l,j,f,l,a,m,i,o,o,j,f,s,m,h,o,c,d,t,k,n,q,q,e,p,c,o,k,j,c,e,k,r,t,f,k,c,f,l,b,r,s,s,s,a,t,i,o,g,l,e,b,i,s,n,n,k,e,q,p,o,a,g,a,q,e,f,j,b,p,h,b,r,r,e,k,c,c4
l,p,b,f,t,f,n,l,q,r,e,e,c,k,t,l,r,t,l,m,r,l,l,h,b,j,b,m,m,s,n,t,j,i,k,p,k,l,l,b,q,c,k,d,e,g,o,p,c,n,c,k,k,m,q,r,t,p,g,c,f,h,h,c,k,b,i,a,s,n,n,e,j,r,o,e,o,n,j,k,k,e,k,e,s,s,a,g,q,o,j,s,m,a,p,e,d,q,a,i,c4
e,t,r,h,e,a,c,j,d,a,n,m,b,d,f,r,i,p,r,q,k,a,j,b,t,l,r,p,b,d,l,j,l,m,d,m,f,p,l,b,b,l,q,j,k,i,g,f,l,k,i,h,f,d,n,n,p,e,j,l,b,n,f,l,h,d,o,g,l,p,c,i,b,c,h,c,t,f,s,b,h,e,n,r,q,c,g,f,m,g,f,t,c,m,f,q,t,o,c,l,c3
p,k,t,j,h,e,q,b,g,a,t,l,o,c,f,g,s,n,t,p,t,f,h,f,a,q,d,o,k,a,n,j,s,l,o,i,g,c,f,p,s,a,a,m,l,d,e,t,j,t,p,c,f,s,j,d,q,h,i,j,c,r,q,a,m,l,g,r,t,q,m,j,f,g,s,c,d,p,f,i,l,g,e,f,m,i,f,d,o,o,n,s,d,e,o,t,q,t,l,a,c1
d,h,s,r,f,f,t,p,d,t,f,m,i,b,a,g,e,q,k,q,c,p,g,k,o,j,f,d,b,i,d,j,p,t,l,s,n,f,i,e,p,a,o,j,c,a,a,s,o,m,d,j,j,m,l,t,h,k,p,k,f,p,g,p,a,r,a,h,m,a,g,s,q,k,s,s,g,l,g,b,c,c,r,r,t,g,o,h,g,r,d,j,l,a,i,g,m,i,b,d,c5
d,q,e,b,p,s,d,g,d,t,s,f,a,a,i,j,r,q,c,j,o,q,g,i,n,j,n,t,f,b,l,p,e,p,n,a,s,l,o,d,d,d,j,n,f,n,r,r,t,r,o,q,e,p,l,g,d,q,m,h,s,d,r,m,g,j,j,f,m,s,q,k,a,l,o,s,e,b,b,r,p,c,a,e,h,b,q,a,o,o,d,p,s,m,n,e,m,f,b,h,c5
i,s,c,c,h,b,a,c,l,h,e,d,a,o,e,d,s,d,p,h,l,e,d,g,c,g,q,s,p,c,e,m,p,p,d,e,o,p,g,n,p,j,n,k,s,t,s,j,i,p,p,g,n,h,b,d,n,c,m,a,a,a,n,e,k,m,t,a,f,k,r,e,m,q,g,d,a,e,o,d,t,f,o,d,c,a,k,l,c,i,r,g,a,b,t,a,k,t,g,c,c2
r,o,c,t,p,b,a,g,i,m,d,f,s,a,i,d,c,p,p,j,l,l,q,c,j,g,i,a,k,c,p,m,o,p,f,g,k,m,h,s,q,q,i,f,n,l,h,a,r,s,p,g,c,k,t,b,n,e,p,l,s,r,e,k,q,d,d,k,i,i,m,g,q,d,i,f,a,m,n,i,t,c,j,d,p,a,s,k,s,h,r,r,k,a,q,k,n,t,e,c,c2
d,o,h,r,m,e,d,t,d,t,l,k,e,g,d,d,i,q,i,c,t,k,g,p,c,j,k,n,p,j,t,m,m,m,k,n,o,d,e,s,o,h,n,n,j,k,l,b,b,b,a,t,i,f,l,t,o,j,h,s,f,c,o,k,k,o,k,l,f,j,l,o,e,s,f,s,g,s,d,n,i,o,h,q,t,s,e,g,o,h,d,n,a,t,s,h,m,e,b,k,c5
n,p,c,b,a,f,m,e,k,e,a,t,o,i,q,d,a,c,p,l,l,k,r,p,r,g,d,o,t,c,i,m,o,q,r,k,e,b,s,l,j,f,i,k,n,f,n,r,q,d,p,e,l,m,p,k,n,l,t,q,a,g,i,p,k,k,g,f,a,g,f,p,g,f,h,c,n,a,s,e,p,c,f,d,c,k,r,i,a,g,f,e,o,l,d,r,g,j,m,c,c2
d,e,a,o,b,o,g,g,d,t,f,s,j,a,p,c,n,q,t,t,b,q,g,f,n,j,d,i,d,q,o,b,c,n,j,e,k,k,s,o,k,h,r,d,f,f,t,k,j,o,i,i,p,j,l,q,t,h,l,m,d,t,b,s,q,t,a,e,f,m,r,h,g,m,t,s,k,r,i,k,i,t,b,k,h,e,p,a,a,h,d,o,l,b,t,p,m,e,b,b,c5
q,m,f,f,g,i,b,d,f,c,p,l,q,g,j,k,s,n,d,g,b,p,t,g,g,g,l,o,k,c,p,j,t,a,k,i,c,s,f,c,r,o,s,p,l,h,k,j,e,t,h,e,m,r,c,s,d,l,n,j,q,f,a,o,e,f,l,r,t,j,g,j,e,c,i,c,a,r,i,a,p,g,r,f,f,f,j,l,o,d,o,h,b,t,q,c,d,o,b,c,c1
j,e,k,m,o,e,n,q,c,o,t,l,a,k,t,q,l,p,o,p,b,b,j,q,t,e,g,o,c,b,f,d,o,b,r,g,q,s,d,h,k,a,k,n,c,o,e,o,h,e,l,q,m,a,n,r,t,d,s,c,f,m,e,e,s,s,q,a,q,m,b,b,j,i,j,l,s,n,j,k,r,g,d,e,q,o,a,q,b,h,j,b,m,p,h,s,o,o,j,e,c4
d,t,k,e,e,a,c,p,p,a,i,b,n,t,b,j,i,s,q,o,j,d,c,d,i,c,d,p,r,n,a,e,c,t,f,m,f,p,g,b,p,s,s,j,p,l,r,c,q,e,i,l,r,f,c,n,i,r,b,i,d,h,l,s,g,b,q,i,k,p,d,d,o,d,f,j,q,c,p,a,d,d,a,a,c,c,h,q,t,k,s,b,i,m,t,m,n,e,n,s,c3
d,k,t,g,g,p,e,i,d,t,r,f,r,p,o,l,n,q,p,g,i,a,g,c,d,j,s,h,a,h,s,e,l,p,b,l,d,h,a,s,c,h,j,f,n,i,g,m,e,t,d,d,i,j,l,h,e,g,m,r,k,s,r,d,d,h,d,i,r,k,f,f,e,i,j,s,t,r,q,g,r,p,i,a,r,h,m,p,q,r,d,t,q,f,a,q,m,b,b,r,c5
f,t,c,q,r,o,a,q,i,n,p,f,f,c,p,d,f,o,p,i,l,t,j,f,q,g,k,g,j,c,r,m,k,g,k,g,t,n,i,o,a,e,r,r,p,b,a,t,l,o,p,l,b,k,g,k,n,m,f,s,m,b,j,q,k,h,i,g,r,n,m,m,f,k,j,l,e,t,t,r,a,i,c,d,e,a,j,b,b,j,s,d,d,m,t,c,a,d,b,c,c2
d,n,g,j,d,s,h,o,d,t,q,p,n,g,s,h,i,q,p,q,f,j,g,k,j,j,t,q,j,g,t,e,b,p,t,s,h,t,s,i,p,l,l,m,t,f,p,r,n,r,q,j,n,m,l,p,h,b,l,d,j,i,l,o,l,a,i,m,n,h,e,b,m,s,d,s,c,j,e,t,t,q,a,l,m,m,l,q,l,p,d,e,e,f,j,h,m,b,b,g,c5
d,s,a,d,k,l,p,f,f,a,p,f,t,k,b,m,s,n,q,q,i,f,o,d,j,h,d,o,k,p,i,j,p,r,t,p,r,r,f,r,i,p,m,r,m,l,o,q,s,t,p,e,e,q,n,s,f,d,k,j,m,f,c,d,q,j,g,r,t,m,g,r,h,b,p,c,h,a,e,g,t,o,d,f,m,r,a,f,e,i,h,c,n,p,f,m,k,t,r,s,c1
s,i,c,d,t,r,d,g,d,k,k,s,s,k,e,d,i,g,p,r,l,g,f,o,d,g,n,d,d,c,g,m,c,j,m,o,m,m,i,g,o,p,f,s,p,l,j,t,g,p,p,e,j,i,p,l,n,g,h,k,f,b,g,d,t,j,q,j,k,q,p,a,q,h,s,s,n,f,s,e,c,k,m,d,g,k,s,q,o,g,p,s,i,h,b,e,e,e,e,c,c2
g,m,h,k,l,g,c,q,a,a,n,k,k,b,h,o,i,b,s,l,e,g,s,t,r,o,i,e,j,n,c,c,f,t,c,m,f,p,p,m,n,s,s,k,e,m,d,s,p,l,i,m,i,f,d,n,j,e,d,t,e,n,d,m,o,g,b,e,e,p,h,b,c,b,q,p,o,f,r,k,q,a,c,p,j,c,r,h,k,i,h,m,j,m,s,q,p,t,b,s,c3
f,p,c,e,r,a,c,j,k,a,s,c,b,b,f,k,i,d,t,j,i,b,r,n,f,n,i,f,j,r,s,r,j,c,q,m,f,p,b,p,l,o,o,g,q,e,a,s,o,b,i,e,a,t,c,n,o,j,n,r,e,r,e,b,j,p,k,h,n,p,c,m,o,f,e,p,d,s,a,k,g,q,f,p,i,c,n,p,r,b,i,f,d,m,c,e,l,f,d,b,c3
d,d,d,q,m,q,c,s,j,a,b,h,o,d,m,h,i,t,r,m,j,n,l,s,e,b,r,c,h,k,o,l,r,c,i,m,f,p,s,b,m,p,h,d,h,p,j,e,n,o,i,l,l,i,h,n,d,s,q,t,k,p,m,h,e,l,d,q,i,p,e,j,s,d,t,o,l,j,e,n,b,h,k,o,a,c,o,d,m,e,k,c,d,m,p,c,f,h,m,n,c3
