@relation data3

@attribute A {ar,v,d,ao,ae,an,r,as,p,ag,ax,w,n,u,ah,i,z,s,e,ab,aq,al,f,ad,aa,au,ai,t,m,ak,am,aw,q,ap,a,o,ac,af,l,at,h,c,aj,x,av,k,j,b,y,g}
@attribute B {i,al,ak,m,ax,t,ab,ao,aa,l,c,k,as,ah,ap,q,b,ac,v,x,j,af,ai,d,ae,o,ar,ad,u,an,y,n,at,aw,f,p,am,aq,h,av,g,r,a,w,s,au,e,z,ag,aj}
@attribute C {al,j,as,ak,b,r,g,o,ag,ah,p,an,m,ar,h,x,ad,ab,ao,q,f,ap,e,aw,ac,i,av,z,v,l,y,c,aq,aj,u,d,t,ai,w,at,ae,am,ax,n,a,s,aa,au,af,k}
@attribute D {aw,c,an,aa,f,q,m,y,o,ax,g,as,ak,ao,af,l,ag,at,aj,w,ai,u,av,ar,t,n,am,d,ae,ad,z,s,j,h,v,al,ab,ap,r,ac,i,e,a,b,x,ah,k,au,p,aq}
@attribute E {r,ah,g,al,p,ag,ad,af,j,h,ae,s,l,f,i,b,k,am,u,ak,ao,aa,ar,ac,v,c,e,aj,an,w,z,o,n,a,m,ab,aw,ap,ax,at,ai,y,au,q,x,aq,t,as,d,av}
@attribute F {av,v,ap,u,n,w,r,ax,ac,ab,ar,aa,o,ag,ah,a,al,h,m,s,j,p,e,y,af,au,ak,f,k,z,aq,aw,c,i,an,g,b,ai,at,d,as,q,am,x,ad,t,l,ao,ae,aj}
@attribute G {ax,an,t,j,s,p,at,c,v,ah,aj,ar,f,m,r,aa,w,l,a,e,y,i,ag,ap,u,af,au,ao,ae,x,ad,k,ai,am,ak,aq,ac,d,b,h,av,ab,aw,as,g,o,q,al,z,n}
@attribute H {d,g,p,f,av,aq,aw,q,ao,am,ak,ah,u,ab,x,ac,c,o,e,i,ai,ar,af,r,w,au,ad,ag,y,as,al,at,k,l,ax,n,b,a,h,t,aj,j,m,ap,ae,an,aa,z,v,s}
@attribute I {k,aj,q,r,am,n,au,v,av,d,b,ai,ak,f,z,an,l,u,i,ao,h,o,aq,g,ab,as,ad,c,ag,ar,a,af,ap,s,ax,aa,ac,w,j,aw,ah,p,t,at,m,y,al,e,x,ae}
@attribute J {ac,b,k,s,ag,av,v,ai,c,ap,ak,y,h,an,a,i,af,r,ab,j,am,aq,q,as,ax,w,d,z,m,o,at,ae,u,x,p,e,aw,ah,n,t,ar,aa,au,ao,aj,g,l,al,ad,f}
@attribute K {b,s,ad,o,ax,ac,r,g,ah,aw,ao,p,e,ak,a,av,aq,l,ai,ap,au,k,d,ab,n,w,v,af,z,as,y,c,u,m,at,x,ag,t,aa,h,ae,f,al,i,an,j,q,aj,am,ar}
@attribute L {r,z,g,u,ah,ar,n,aq,b,am,an,p,w,ax,ab,ak,l,at,ac,o,au,a,aw,j,aj,f,av,t,al,ap,x,h,d,ad,ao,c,as,af,y,m,i,ai,ae,ag,q,k,s,e,aa,v}
@attribute M {n,as,s,aj,b,ao,ar,t,j,ad,ax,z,ab,h,x,l,aw,g,an,ac,y,u,ag,w,p,ak,aa,ah,e,d,i,q,al,a,k,v,c,ae,am,o,m,av,f,at,aq,ap,r,af,ai,au}
@attribute N {o,y,ap,ac,al,x,ax,am,u,v,an,n,aj,ab,l,g,t,ar,ae,r,as,q,a,aw,z,ag,ad,ao,d,p,ai,aq,ak,af,b,k,f,m,c,aa,i,av,s,e,h,j,ah,w,au,at}
@attribute O {k,s,ab,o,av,i,r,v,g,aj,at,ah,a,c,j,e,u,al,h,f,ac,ar,as,ae,ax,au,aa,ai,y,m,aq,af,l,am,z,x,d,an,ag,ad,w,p,ao,n,q,ak,t,b,aw,ap}
@attribute P {am,ax,r,x,aw,ae,k,v,a,av,ak,s,q,b,aq,h,c,ao,at,ap,z,w,ai,d,an,al,t,aa,af,ac,g,ar,j,e,ah,ag,n,as,l,au,u,f,ab,ad,p,m,o,i,y,aj}
@attribute Q {ap,z,h,af,k,ax,aj,a,as,f,aq,ag,ab,w,v,j,u,ak,y,l,i,ai,e,m,ae,ad,x,o,aw,av,am,at,ao,t,r,ar,q,s,au,ac,ah,aa,p,n,an,g,d,b,c,al}
@attribute R {j,ax,ae,w,c,u,am,a,ar,z,ad,p,ak,an,v,h,i,s,g,o,au,ac,ao,ai,k,ah,aj,b,t,af,av,r,q,ap,l,aq,n,as,m,ab,y,aw,e,x,at,al,ag,d,aa,f}
@attribute S {aj,b,aa,d,aw,at,x,ab,ax,au,ag,ak,aq,ae,n,l,v,f,o,ah,as,e,an,ac,z,ad,h,u,k,w,s,y,j,r,i,ai,m,a,af,al,t,q,g,ar,ao,am,c,ap,av,p}
@attribute T {t,l,j,s,as,ak,aj,ap,r,a,aw,ag,o,ae,z,q,aq,y,f,w,ax,e,x,c,ad,b,at,v,am,ai,aa,av,ab,p,an,k,ah,ar,g,au,i,ac,m,ao,u,h,af,n,al,d}
@attribute U {ae,av,j,q,aq,r,d,al,ax,as,ah,aj,l,ag,aw,v,p,au,ac,ap,y,ak,s,k,af,x,a,e,z,i,ao,n,ad,ar,g,an,ai,ab,w,aa,m,b,u,c,am,t,at,o,f,h}
@attribute V {av,g,v,aa,ah,ac,aw,aq,t,x,aj,ag,al,e,s,ax,ak,w,am,l,ar,ai,h,i,ao,ad,ae,b,at,j,u,q,m,a,au,an,ap,d,k,as,f,af,o,z,r,p,c,ab,y,n}
@attribute W {ak,as,r,af,k,h,ab,n,m,i,q,j,ao,am,z,ae,ax,aw,a,p,f,an,at,y,o,ah,w,e,ac,d,l,x,aq,g,av,ai,ad,s,aj,al,t,ag,b,v,c,aa,au,u,ap,ar}
@attribute X {z,m,ag,d,ar,n,c,aj,l,o,s,ai,p,ao,y,f,t,ax,g,k,e,q,i,ap,ab,au,aq,j,aw,ak,at,h,an,ac,av,ae,v,al,r,b,x,af,am,ad,ah,as,w,aa,u,a}
@attribute Y {au,m,p,ax,ae,av,af,am,ak,g,an,c,aw,al,y,at,z,b,aj,ap,aq,j,ai,as,h,ar,x,d,ao,t,v,e,ah,s,l,o,ac,i,ad,a,r,ab,w,f,n,u,k,ag,aa,q}
@attribute Z {a,aw,c,x,al,n,v,ak,aa,ab,g,aj,ag,ai,r,e,i,q,p,h,b,ah,l,y,ar,w,ac,k,t,at,ax,an,u,as,d,au,aq,f,af,s,z,o,ao,ap,ad,ae,am,av,m,j}
@attribute [ {l,y,ao,aq,r,a,k,ae,j,av,g,ax,w,b,i,ag,ac,ak,q,h,z,c,af,v,ab,ar,o,f,ai,ap,aj,e,p,n,at,ad,t,d,u,au,aa,an,ah,s,m,am,aw,al,x,as}
@attribute '\\' {as,e,af,am,v,ap,x,g,o,a,ar,c,z,ag,al,n,l,b,ax,av,t,aw,at,p,aj,u,ak,w,h,s,ah,d,an,ae,m,q,aa,ad,aq,ai,f,y,ao,k,ac,ab,r,i,j,au}
@attribute ] {as,aj,n,u,h,s,d,ap,ab,v,ao,an,ar,c,r,y,x,au,ae,m,aw,a,am,al,af,z,aq,b,q,o,t,g,ac,aa,k,ad,ak,j,f,i,at,ah,l,ag,p,ax,e,ai,av,w}
@attribute ^ {v,w,y,al,f,ao,z,a,aa,aq,au,p,n,k,ae,l,s,h,aj,b,av,at,an,o,aw,ak,ab,ap,ad,ar,as,m,ag,j,ax,am,t,r,g,i,ai,c,d,x,e,ah,ac,q,af,u}
@attribute Class {c2,c4,c3,c1}

@data
av,t,aj,aw,o,x,an,af,i,k,am,z,as,i,s,ax,s,l,b,an,ap,f,au,aj,m,aw,y,e,aw,aq,c4
ar,ab,al,aw,r,d,ax,ao,ae,u,at,d,aq,e,p,ak,ab,e,s,t,ae,av,ak,z,ai,a,am,e,aj,n,c2
e,x,g,at,aa,v,an,i,y,q,h,z,as,c,s,ax,ah,p,b,aa,aj,x,aq,ad,m,aw,y,e,r,ai,c4
aw,as,al,aw,r,x,ax,ai,j,c,as,s,ak,ad,ao,y,d,ao,q,t,ae,av,ak,z,o,a,b,i,n,t,c2
ao,o,ap,au,ah,e,n,k,q,ag,e,g,ad,ac,aj,h,af,ax,ah,c,q,l,g,d,p,c,ao,af,ap,q,c3
ab,ak,al,aw,r,w,ax,ae,s,af,n,h,am,j,an,ag,i,ar,aa,t,ae,av,ak,z,af,a,au,ac,al,a,c2
ag,ab,x,p,ag,am,ak,s,at,c,m,aq,k,ag,o,a,aj,ah,q,ap,aq,t,ag,ar,v,aa,d,ah,s,aa,c1
y,c,al,aw,r,z,ax,t,g,aj,ac,ar,ax,b,o,ax,af,ao,f,t,ae,av,ak,z,l,a,an,p,aj,x,c2
o,ad,ar,ak,n,x,an,aq,ae,a,ak,z,as,r,s,ax,h,w,b,v,z,av,l,c,m,aw,y,e,f,ah,c4
ao,ad,aq,af,e,c,ag,am,q,c,a,g,ar,v,ac,ar,af,b,aa,v,q,ax,e,d,p,c,ao,af,am,ar,c3
ao,y,g,ar,h,ax,s,aw,q,as,au,g,ah,ap,o,y,af,q,w,ac,q,al,ad,d,p,c,ao,af,n,y,c3
ab,ar,s,h,p,ao,an,b,ao,ae,r,z,as,an,s,ax,w,j,b,ao,g,ap,at,ab,m,aw,y,e,k,k,c4
ao,ai,ai,o,g,an,b,x,q,ad,ap,g,am,z,g,o,af,z,o,p,q,aa,as,d,p,c,ao,af,g,av,c3
ak,q,v,o,ax,at,an,aj,ao,ap,y,z,as,aa,s,ax,ah,j,b,o,k,g,e,o,m,aw,y,e,t,x,c4
ag,ab,p,at,ag,b,ax,aa,ab,ad,o,aq,t,i,o,a,aj,k,y,p,aq,ap,n,ar,ai,ag,ac,t,at,aa,c1
ag,ab,c,f,ag,q,an,ac,z,s,i,aq,p,b,o,a,aj,al,as,p,aq,am,c,ar,c,o,ax,aa,af,aa,c1
g,ah,ab,s,m,aj,an,ad,m,e,e,z,as,f,s,ax,i,ah,b,ah,au,ac,ad,ae,m,aw,y,e,ag,d,c4
o,ao,al,aw,r,z,ax,ad,ac,t,aa,g,af,x,ax,ag,af,s,m,t,ae,av,ak,z,aw,a,an,a,t,aa,c2
ag,ab,aq,at,ag,au,p,x,ai,d,ao,aq,ag,at,o,a,aj,n,aq,aw,aq,q,f,ar,r,y,af,aq,ao,aa,c1
q,k,al,aw,r,av,ax,af,w,ae,z,ab,aa,m,ar,f,s,p,ap,t,ae,av,ak,z,w,a,s,al,as,q,c2
ao,ar,b,o,g,p,aa,z,q,y,l,g,r,b,p,w,af,v,x,at,q,al,aq,d,p,c,ao,af,at,u,c3
ar,r,al,aw,r,k,ax,aa,n,u,ag,t,aj,k,u,as,r,au,l,t,ae,av,ak,z,av,a,h,ae,u,t,c2
ao,x,al,aw,r,s,ax,aa,w,o,ak,w,i,q,n,au,g,ad,i,t,ae,av,ak,z,o,a,w,al,ad,aa,c2
ag,ab,e,a,ag,aj,af,am,as,aq,i,aq,j,ag,o,a,aj,v,y,ak,aq,g,at,ar,c,as,m,a,e,aa,c1
ao,at,k,w,q,ae,ai,as,q,w,f,g,p,j,ah,j,af,u,j,as,q,aj,ao,d,p,c,ao,af,f,a,c3
ag,ab,u,x,ag,ao,ag,ah,l,aw,l,aq,ag,w,o,a,aj,m,af,ap,aq,k,ak,ar,u,j,y,c,u,aa,c1
ag,ab,at,ad,ag,m,y,e,b,p,d,aq,v,a,o,a,aj,n,ag,al,aq,k,i,ar,an,w,h,y,q,aa,c1
ad,u,al,aw,r,au,ax,h,u,w,x,e,u,ad,av,ax,p,g,av,t,ae,av,ak,z,ab,a,ax,ax,ax,u,c2
al,k,f,o,ae,s,an,t,ax,aj,p,z,as,as,s,ax,k,ac,b,ao,a,ae,ap,x,m,aw,y,e,j,q,c4
ag,ab,q,ai,ag,at,ab,n,ac,r,ag,aq,d,k,o,a,aj,aq,a,b,aq,l,am,ar,ak,as,m,ae,d,aa,c1
z,ag,k,l,af,ae,an,q,w,g,q,z,as,f,s,ax,w,al,b,k,at,ax,al,ac,m,aw,y,e,r,ae,c4
f,s,al,aw,r,m,ax,s,am,ag,f,o,as,al,f,r,af,ag,v,t,ae,av,ak,z,e,a,ao,ap,u,as,c2
h,ae,ao,t,h,ax,an,i,h,aw,v,z,as,c,s,ax,d,ac,b,ak,a,ak,am,p,m,aw,y,e,ai,aa,c4
ag,ab,af,j,ag,av,e,o,ad,an,u,aq,ag,z,o,a,aj,au,ai,as,aq,m,ai,ar,h,af,aw,ak,ao,aa,c1
v,ak,al,aw,r,k,ax,q,i,v,w,s,ar,d,r,ap,i,w,ax,t,ae,av,ak,z,ao,a,aj,as,ai,t,c2
ab,h,al,aw,r,ap,ax,ak,ab,l,ac,r,as,as,av,at,h,av,aj,t,ae,av,ak,z,aa,a,z,ag,av,l,c2
ag,v,u,aa,as,aj,an,aq,m,an,h,z,as,ae,s,ax,aa,ae,b,ac,r,ad,f,p,m,aw,y,e,d,an,c4
ag,ab,d,j,ag,n,g,ad,q,ap,j,aq,ax,aq,o,a,aj,j,ae,m,aq,v,c,ar,ak,ar,o,h,a,aa,c1
an,x,as,au,i,ak,an,g,ap,ad,k,z,as,ad,s,ax,v,o,b,s,ae,ab,f,aj,m,aw,y,e,u,aa,c4
as,m,c,d,i,q,an,i,m,ar,aj,z,as,l,s,ax,ae,a,b,ac,aj,n,p,aa,m,aw,y,e,ai,am,c4
j,n,al,aw,r,t,ax,ab,d,d,l,g,t,u,i,w,y,ac,d,t,ae,av,ak,z,an,a,ao,j,ah,b,c2
ao,aj,ac,ar,ae,aw,ai,al,q,as,ao,g,av,g,q,am,af,t,i,m,q,r,as,d,p,c,ao,af,af,ax,c3
ao,a,g,ax,h,s,z,p,q,b,r,g,b,ah,ao,aw,af,ap,at,u,q,d,ax,d,p,c,ao,af,ad,au,c3
i,k,al,aw,r,ar,ax,at,y,aw,al,an,ac,s,v,aa,ar,q,k,t,ae,av,ak,z,al,a,am,j,ai,z,c2
ap,ar,ai,ah,al,e,an,f,aq,t,ax,z,as,u,s,ax,as,ao,b,as,af,ae,ak,w,m,aw,y,e,ac,ao,c4
ag,w,al,aw,r,af,ax,l,ax,e,j,j,y,ak,at,ag,v,h,ao,t,ae,av,ak,z,h,a,ak,aj,q,g,c2
ao,am,u,av,s,af,ak,aj,q,f,ai,g,ai,g,ah,d,af,j,q,ak,q,ak,g,d,p,c,ao,af,u,av,c3
f,ah,al,aw,r,aa,ax,aw,ak,e,as,v,d,i,p,an,i,ar,z,t,ae,av,ak,z,ao,a,ar,ao,c,s,c2
ax,d,ai,q,p,g,an,ar,ac,ab,g,z,as,c,s,ax,aa,b,b,a,q,ah,q,c,m,aw,y,e,i,j,c4
ag,ab,m,ai,ag,j,aa,o,ac,a,v,aq,z,m,o,a,aj,aw,b,ab,aq,u,av,ar,ah,x,e,q,ab,aa,c1
j,at,al,aw,r,ao,ax,e,ae,r,am,ab,ah,r,x,t,ab,at,e,t,ae,av,ak,z,ad,a,ag,m,aa,f,c2
ag,ab,at,aq,ag,o,q,ah,r,aa,i,aq,h,h,o,a,aj,o,at,ao,aq,aj,e,ar,af,y,ax,as,n,aa,c1
aj,z,u,v,ad,ai,an,j,e,s,ag,z,as,s,s,ax,aa,i,b,aj,j,as,x,ag,m,aw,y,e,ah,q,c4
p,ad,al,aw,r,z,ax,ak,q,o,al,ap,ad,d,t,al,k,z,ae,t,ae,av,ak,z,ar,a,ab,d,x,z,c2
h,s,al,aw,r,aq,ax,ab,ao,aq,aq,v,ad,m,q,s,w,ax,s,t,ae,av,ak,z,am,a,m,u,ao,au,c2
ao,am,al,aw,r,ag,ax,z,ag,ae,g,ac,x,al,an,r,at,au,a,t,ae,av,ak,z,ab,a,p,l,ab,x,c2
ag,ab,al,ag,ag,b,ax,av,p,w,ao,aq,w,t,o,a,aj,ad,s,g,aq,ae,as,ar,aj,j,z,al,ah,aa,c1
ag,e,z,k,ac,d,an,as,h,o,aq,z,as,as,s,ax,m,am,b,av,aa,al,j,av,m,aw,y,e,al,ax,c4
ab,ae,an,aw,g,v,an,av,ag,ag,x,z,as,al,s,ax,p,o,b,aa,k,ai,at,t,m,aw,y,e,aw,b,c4
aa,e,al,aw,r,al,ax,m,q,u,ax,as,h,k,ag,n,ar,t,ag,t,ae,av,ak,z,ai,a,ac,aw,b,t,c2
ao,p,x,o,m,an,v,h,q,h,v,g,at,ab,u,u,af,av,aw,aq,q,q,ac,d,p,c,ao,af,i,r,c3
ao,ak,al,av,g,y,an,g,au,aa,d,z,as,aq,s,ax,i,w,b,b,z,n,k,d,m,aw,y,e,k,aq,c4
ao,i,al,aw,r,af,ax,at,h,k,m,p,f,aj,v,w,f,j,b,t,ae,av,ak,z,n,a,s,m,av,s,c2
am,y,al,aw,r,ae,ax,ar,h,k,an,g,s,ak,aj,o,i,d,p,t,ae,av,ak,z,r,a,ar,o,t,as,c2
ak,ao,d,ab,ax,f,an,o,ai,q,ap,z,as,ap,s,ax,b,a,b,am,ar,ar,ad,u,m,aw,y,e,aj,u,c4
ao,m,am,g,d,j,b,al,q,ao,p,g,aw,ad,al,z,af,i,f,f,q,z,aa,d,p,c,ao,af,av,ae,c3
ao,ax,q,b,ao,ai,n,s,q,u,ak,g,x,g,b,p,af,h,z,ax,q,b,g,d,p,c,ao,af,an,y,c3
af,aq,l,as,j,as,an,ab,ao,ab,ab,z,as,y,s,ax,u,i,b,s,r,ae,x,n,m,aw,y,e,g,t,c4
ag,ab,aw,b,ag,aa,af,at,au,l,at,aq,ao,k,o,a,aj,v,v,aw,aq,s,ab,ar,aw,n,ae,k,p,aa,c1
ac,y,y,w,s,au,an,au,b,af,ar,z,as,aj,s,ax,at,a,b,c,u,f,l,ac,m,aw,y,e,z,ap,c4
ao,z,k,i,o,m,z,u,q,as,d,g,u,ai,v,ax,af,as,v,av,q,m,f,d,p,c,ao,af,aj,y,c3
p,ag,u,at,t,ap,an,ai,l,aw,ag,z,as,aw,s,ax,h,aw,b,ax,ak,ad,p,n,m,aw,y,e,ak,v,c4
ah,ai,o,an,x,a,an,m,b,af,z,z,as,l,s,ax,am,ag,b,v,aj,k,p,p,m,aw,y,e,af,ad,c4
ah,w,ap,v,u,aw,an,b,e,w,aa,z,as,ad,s,ax,c,r,b,y,t,ak,ax,aq,m,aw,y,e,q,aj,c4
ag,ab,n,o,ag,af,ai,p,h,ae,g,aq,k,ar,o,a,aj,ae,a,av,aq,aw,i,ar,o,q,m,j,ac,aa,c1
ad,v,al,aw,r,v,ax,ad,au,f,m,ac,j,c,ar,af,q,s,t,t,ae,av,ak,z,ar,a,k,o,af,ac,c2
ag,ab,av,k,ag,g,f,l,ap,w,d,aq,ax,j,o,a,aj,ae,ac,ax,aq,g,ap,ar,ad,h,f,x,ac,aa,c1
an,f,ax,p,ax,ab,an,z,v,h,aj,z,as,l,s,ax,au,a,b,z,q,p,r,t,m,aw,y,e,v,ak,c4
ag,ab,ak,al,ag,an,aq,k,b,v,e,aq,o,x,o,a,aj,x,as,e,aq,g,s,ar,w,g,n,aa,z,aa,c1
ag,ab,aa,v,ag,aw,i,e,h,n,r,aq,c,ah,o,a,aj,aa,ab,t,aq,a,ae,ar,u,ar,b,c,y,aa,c1
o,ak,al,aw,r,ao,ax,ao,e,ad,ap,i,s,aj,av,z,ac,p,u,t,ae,av,ak,z,ah,a,t,v,g,o,c2
h,v,s,ax,w,aw,an,x,ar,al,r,z,as,z,s,ax,as,af,b,al,n,al,ai,h,m,aw,y,e,i,ah,c4
u,aj,v,aj,ar,l,an,o,h,aj,am,z,as,aw,s,ax,y,ah,b,r,am,i,ar,ac,m,aw,y,e,i,ao,c4
b,q,an,ah,am,ah,an,p,ak,ag,ao,z,as,af,s,ax,y,x,b,d,ap,f,ai,aa,m,aw,y,e,ag,ae,c4
ai,as,al,aw,r,q,ax,ap,w,v,m,ad,b,q,k,ad,ae,ax,b,t,ae,av,ak,z,ar,a,af,o,c,ad,c2
o,v,aw,al,ae,w,an,ax,e,c,ag,z,as,al,s,ax,v,aa,b,g,am,j,au,ak,m,aw,y,e,g,b,c4
ao,ai,ap,h,an,w,v,ag,q,aw,i,g,w,ap,ag,al,af,g,ae,ap,q,ao,af,d,p,c,ao,af,an,ah,c3
ao,c,au,u,k,aw,i,ax,q,f,z,g,u,h,au,au,af,a,k,ao,q,ab,s,d,p,c,ao,af,ab,al,c3
ag,ab,r,w,ag,d,ag,ac,at,u,at,aq,au,av,o,a,aj,af,k,ab,aq,l,au,ar,t,v,q,h,f,aa,c1
l,m,al,aw,r,ag,ax,b,t,p,am,q,i,ae,h,o,o,n,o,t,ae,av,ak,z,an,a,ai,au,ah,j,c2
ar,an,al,aw,r,ac,ax,g,f,am,as,aa,e,ap,ao,k,au,d,k,t,ae,av,ak,z,w,a,f,au,aw,e,c2
ag,ab,w,ac,ag,aq,g,b,ao,v,ad,aq,t,aa,o,a,aj,aj,ab,a,aq,b,af,ar,r,ar,as,ae,as,aa,c1
s,s,al,aw,r,ad,ax,y,q,ak,j,ax,al,au,z,aw,v,ai,an,t,ae,av,ak,z,ax,a,ae,au,w,ab,c2
ao,z,aa,aj,i,k,r,r,q,am,y,g,as,ar,at,t,af,o,o,al,q,y,aj,d,p,c,ao,af,i,j,c3
ag,ab,ao,h,ag,at,n,ad,o,b,af,aq,u,k,o,a,aj,c,r,j,aq,f,ae,ar,ag,f,ao,as,u,aa,c1
ao,ax,aw,s,c,as,c,ag,q,aw,am,g,aw,d,m,l,af,al,aq,r,q,as,y,d,p,c,ao,af,aw,aq,c3
ag,ab,ag,o,ag,at,av,r,aw,l,ag,aq,ap,av,o,a,aj,aa,as,aa,aq,h,ak,ar,m,o,w,ax,k,aa,c1
au,u,aq,c,aj,af,an,ak,j,g,l,z,as,m,s,ax,t,ao,b,i,i,aw,as,n,m,aw,y,e,au,p,c4
q,c,y,af,ar,o,an,b,x,x,j,z,as,p,s,ax,q,f,b,e,as,ad,f,ac,m,aw,y,e,n,aa,c4
ag,ab,s,c,ag,i,aw,ac,v,j,v,aq,af,aj,o,a,aj,v,aq,aj,aq,ai,au,ar,ax,ap,a,ae,r,aa,c1
l,o,ae,n,p,g,an,ax,ad,d,k,z,as,n,s,ax,aj,aq,b,u,ao,y,aw,ah,m,aw,y,e,c,ac,c4
ag,ab,am,ap,ag,w,ag,p,ao,p,an,aq,aj,ao,o,a,aj,y,aa,m,aq,q,c,ar,au,t,ax,ag,u,aa,c1
i,av,al,aw,r,av,ax,b,r,r,an,at,z,am,b,s,av,aa,l,t,ae,av,ak,z,av,a,l,w,ar,as,c2
ao,l,ao,au,n,v,m,h,q,j,ai,g,af,b,f,f,af,af,z,u,q,t,h,d,p,c,ao,af,ac,aj,c3
ao,ag,at,r,al,ah,ad,i,q,s,y,g,c,s,an,d,af,ac,i,ad,q,r,r,d,p,c,ao,af,ab,v,c3
d,al,al,aw,r,al,ax,aj,ar,y,ag,w,u,w,k,z,f,o,m,t,ae,av,ak,z,am,a,ag,p,q,q,c2
ao,w,ap,k,y,aw,z,b,q,an,al,g,aa,g,r,d,af,z,v,ae,q,l,au,d,p,c,ao,af,an,z,c3
s,al,al,aw,r,u,ax,r,af,a,ax,q,v,as,u,m,aw,c,o,t,ae,av,ak,z,ah,a,j,g,j,u,c2
ag,ab,aq,ao,ag,ab,ap,r,r,s,z,aq,as,f,o,a,aj,an,aq,f,aq,aa,n,ar,m,al,aj,p,an,aa,c1
ao,as,i,an,ax,v,n,ad,q,ar,k,g,an,ad,q,ax,af,ak,a,t,q,e,ad,d,p,c,ao,af,al,j,c3
ag,ab,an,aq,ag,al,d,ai,c,ab,ai,aq,at,ac,o,a,aj,au,l,ab,aq,k,j,ar,aq,j,ad,ah,aj,aa,c1
f,l,al,aw,r,aq,ax,f,t,v,af,at,aa,at,al,aq,ar,g,ab,t,ae,av,ak,z,at,a,b,j,an,x,c2
y,b,al,aw,r,z,ax,l,at,o,ag,v,h,k,al,i,af,aj,e,t,ae,av,ak,z,u,a,d,av,ao,ad,c2
r,at,aj,t,q,s,an,ai,s,c,am,z,as,ac,s,ax,o,t,b,at,q,al,ad,ac,m,aw,y,e,d,x,c4
ao,x,al,al,aa,av,av,au,q,s,m,g,ae,g,d,au,af,am,l,aj,q,am,aa,d,p,c,ao,af,d,at,c3
v,af,al,aw,r,aq,ax,g,s,l,ao,m,au,r,al,ao,a,ae,at,t,ae,av,ak,z,ac,a,c,i,au,aa,c2
ar,w,al,aw,r,ax,ax,b,aw,as,am,aq,q,am,aj,ak,e,o,k,t,ae,av,ak,z,ae,a,ac,v,al,at,c2
ag,ab,p,g,ag,ag,e,b,am,al,x,aq,al,ab,o,a,aj,at,q,q,aq,g,x,ar,j,ai,n,w,am,aa,c1
ao,w,av,n,a,w,n,j,q,q,c,g,j,ac,ax,ap,af,w,ae,at,q,i,x,d,p,c,ao,af,ai,ao,c3
ao,ar,e,y,h,ac,u,ac,q,ai,ar,g,ab,w,a,c,af,y,h,w,q,i,ah,d,p,c,ao,af,w,ar,c3
ag,ab,q,am,ag,q,i,m,am,a,x,aq,i,ak,o,a,aj,ax,u,at,aq,ab,w,ar,ao,y,at,z,ac,aa,c1
f,k,al,aw,r,at,ax,x,q,al,j,i,z,ai,ab,t,l,u,aq,t,ae,av,ak,z,aq,a,ag,r,r,j,c2
ao,u,ap,x,g,b,x,ag,q,as,q,g,ah,j,au,as,af,m,k,ai,q,ag,al,d,p,c,ao,af,aw,c,c3
ae,ac,al,aw,r,m,ax,av,s,i,l,o,an,v,av,j,at,s,as,t,ae,av,ak,z,h,a,aa,h,t,j,c2
x,c,af,at,ad,ae,an,ar,d,p,j,z,as,d,s,ax,an,j,b,an,t,aw,ad,ac,m,aw,y,e,af,j,c4
ad,ak,al,aw,r,j,ax,ac,c,c,u,at,at,y,z,i,b,al,aq,t,ae,av,ak,z,u,a,aj,at,v,at,c2
j,d,aj,c,m,k,an,a,aq,x,ao,z,as,aa,s,ax,ab,ab,b,as,j,ao,ae,u,m,aw,y,e,am,ak,c4
at,ak,al,aw,r,v,ax,m,aw,v,e,n,ap,ah,h,am,ax,c,ap,t,ae,av,ak,z,c,a,i,ac,ai,o,c2
d,l,z,at,u,f,an,o,af,g,b,z,as,v,s,ax,ac,b,b,ao,ab,a,ab,o,m,aw,y,e,m,o,c4
ag,ab,w,ab,ag,p,g,am,ag,i,m,aq,r,p,o,a,aj,aj,u,at,aq,s,aw,ar,v,s,as,ap,c,aa,c1
ag,w,f,n,av,j,an,ab,e,y,aa,z,as,e,s,ax,u,g,b,ap,ao,n,at,k,m,aw,y,e,z,ao,c4
ab,ad,ao,a,w,r,an,ap,z,ax,u,z,as,aw,s,ax,n,a,b,n,g,ak,an,ag,m,aw,y,e,q,ad,c4
ai,v,al,aw,r,ap,ax,t,aq,ak,g,l,aa,s,ae,ap,ax,as,k,t,ae,av,ak,z,ag,a,ao,w,o,k,c2
ao,au,ai,k,n,ax,au,ap,q,r,t,g,q,k,ap,ah,af,c,ar,ad,q,al,au,d,p,c,ao,af,ag,au,c3
aj,at,al,aw,r,ab,ax,ag,d,am,v,b,m,av,ac,ag,a,c,ae,t,ae,av,ak,z,q,a,av,ao,l,b,c2
ao,ab,ar,l,ag,l,ax,w,q,am,aw,g,am,q,e,al,af,aq,u,s,q,am,r,d,p,c,ao,af,j,s,c3
a,ap,n,au,k,r,an,i,l,ah,j,z,as,p,s,ax,x,au,b,y,e,as,q,au,m,aw,y,e,aw,au,c4
t,af,al,aw,r,g,ax,g,x,aj,u,p,t,b,ad,l,f,au,d,t,ae,av,ak,z,ak,a,ac,ai,q,v,c2
ao,ag,ab,ah,ah,q,s,ae,q,aq,k,g,y,e,b,t,af,l,i,h,q,f,au,d,p,c,ao,af,w,q,c3
v,a,at,ai,aj,ak,an,at,ad,am,aw,z,as,z,s,ax,ag,av,b,f,r,ad,ae,n,m,aw,y,e,au,h,c4
