@relation data50_5_5_10_5_300

@attribute A1 {d,c,e,b,a}
@attribute A2 {a,b,e,c,d}
@attribute A3 {c,a,d,e,b}
@attribute A4 {e,d,c,b,a}
@attribute A5 {b,e,a,d,c}
@attribute A6 {a,b,e,c,d}
@attribute A7 {c,b,e,a,d}
@attribute A8 {d,a,c,b,e}
@attribute A9 {c,d,b,a,e}
@attribute A10 {d,c,e,b,a}
@attribute A11 {b,c,d,a,e}
@attribute A12 {c,b,a,d,e}
@attribute A13 {e,d,b,a,c}
@attribute A14 {b,e,c,d,a}
@attribute A15 {e,d,c,b,a}
@attribute A16 {d,b,a,e,c}
@attribute A17 {c,b,a,d,e}
@attribute A18 {b,c,d,e,a}
@attribute A19 {c,d,e,a,b}
@attribute A20 {c,b,e,d,a}
@attribute A21 {a,b,d,e,c}
@attribute A22 {d,b,a,c,e}
@attribute A23 {a,d,b,c,e}
@attribute A24 {e,a,d,b,c}
@attribute A25 {d,a,c,e,b}
@attribute A26 {e,d,a,c,b}
@attribute A27 {b,d,c,e,a}
@attribute A28 {d,e,a,b,c}
@attribute A29 {b,c,d,a,e}
@attribute A30 {d,b,c,e,a}
@attribute A31 {a,b,c,d,e}
@attribute A32 {c,d,e,b,a}
@attribute A33 {c,a,b,d,e}
@attribute A34 {a,d,b,e,c}
@attribute A35 {c,b,a,d,e}
@attribute A36 {a,d,c,e,b}
@attribute A37 {e,d,a,b,c}
@attribute A38 {a,c,e,b,d}
@attribute A39 {e,a,c,d,b}
@attribute A40 {e,a,c,d,b}
@attribute A41 {a,e,b,d,c}
@attribute A42 {d,a,c,e,b}
@attribute A43 {d,e,a,c,b}
@attribute A44 {c,e,d,b,a}
@attribute A45 {e,d,c,b,a}
@attribute A46 {d,c,e,b,a}
@attribute A47 {a,e,c,b,d}
@attribute A48 {e,a,c,b,d}
@attribute A49 {d,e,a,b,c}
@attribute A50 {d,b,c,e,a}
@attribute Class {c3,c5,c4,c2,c1}

@data
d,d,e,d,b,e,c,c,e,e,e,a,d,b,e,e,a,e,a,d,c,a,d,e,c,d,a,d,c,a,c,a,c,e,a,b,a,e,c,e,c,c,c,e,c,b,a,b,a,c,c2
e,a,a,d,c,e,c,b,d,e,c,a,e,d,e,d,e,d,a,a,d,b,a,a,c,e,e,d,a,a,c,d,a,b,e,b,a,d,e,c,b,b,c,b,d,d,e,b,c,c,c2
b,a,c,d,e,a,b,d,a,a,c,c,a,c,e,e,c,e,a,a,e,c,c,a,a,c,b,c,b,c,a,e,d,a,a,e,d,a,b,a,e,a,d,b,e,a,e,c,a,a,c4
a,b,d,a,d,d,b,a,c,a,d,d,e,b,a,d,b,e,b,b,a,b,c,c,e,d,a,e,c,a,e,d,c,c,d,e,c,a,e,d,a,a,e,b,d,d,b,a,b,b,c5
c,a,a,c,e,a,c,c,c,d,c,b,e,b,a,b,a,d,d,b,b,a,b,c,e,a,e,b,b,a,a,e,a,b,d,b,c,b,d,c,e,a,a,a,b,c,c,a,e,b,c1
b,b,e,b,b,c,c,d,a,b,b,e,e,b,a,d,b,b,a,d,a,d,b,e,d,a,a,b,b,e,c,d,e,a,a,c,e,e,d,b,d,e,b,c,e,d,a,a,d,e,c3
a,b,e,c,b,a,b,d,e,e,b,b,e,c,d,d,e,c,a,e,a,d,a,e,d,d,e,c,b,a,c,c,b,a,c,d,e,a,a,b,d,a,b,a,c,d,e,a,a,b,c3
e,a,a,c,e,d,b,a,d,a,c,a,e,d,a,b,b,b,d,d,a,b,b,e,e,a,e,b,b,a,c,c,c,c,d,e,b,e,d,b,e,e,d,a,d,a,e,d,b,e,c1
a,b,b,e,a,d,b,a,c,d,c,e,c,b,b,b,c,d,d,c,a,e,a,e,c,d,a,e,e,b,e,d,b,e,e,d,d,c,e,a,a,a,e,d,d,d,c,d,b,b,c5
a,a,c,e,b,e,a,d,d,e,b,a,c,e,e,d,c,d,c,e,a,d,a,e,d,b,a,b,b,c,b,b,c,a,b,e,e,b,b,a,d,b,a,b,e,d,a,d,d,c,c3
b,b,b,a,d,c,b,a,d,c,d,d,d,b,b,b,c,b,a,d,a,e,d,d,e,d,e,e,b,c,e,d,e,a,c,b,e,c,e,a,a,a,e,b,d,c,d,d,c,d,c5
a,c,b,d,d,e,a,c,b,e,d,a,c,b,e,a,b,e,c,b,d,b,d,c,c,e,e,d,d,b,e,e,c,e,a,b,a,b,a,b,c,d,c,c,b,d,e,b,a,c,c2
d,a,c,e,b,b,e,e,e,e,d,d,e,c,e,b,b,b,a,b,a,e,c,d,a,a,c,b,b,d,c,e,e,a,d,e,d,e,b,a,b,b,a,c,c,a,e,c,d,c,c4
e,e,b,d,d,e,a,d,b,e,c,a,e,c,e,c,b,d,e,d,e,a,b,c,c,d,c,d,a,e,c,d,b,d,d,b,a,e,e,a,c,a,c,e,b,b,a,b,c,c,c2
c,a,c,d,a,c,b,c,e,d,c,d,c,c,b,c,a,d,a,e,c,d,c,b,d,e,c,d,b,e,e,e,d,b,a,e,d,c,e,e,c,a,d,b,d,e,e,c,c,c,c4
e,b,b,d,a,e,c,b,e,e,d,a,e,c,e,c,a,e,e,a,c,c,e,b,c,e,d,d,d,a,e,c,e,a,e,b,a,c,d,c,b,e,c,b,e,c,b,b,c,c,c2
a,a,c,c,d,d,d,e,b,c,d,e,a,c,c,d,b,c,a,a,d,d,c,c,c,e,b,e,b,d,e,e,a,d,d,e,d,e,e,b,d,d,b,e,e,c,e,c,a,b,c4
c,c,c,d,c,e,a,c,e,e,c,a,e,b,e,e,e,d,d,e,c,b,c,b,c,c,d,d,d,e,e,d,b,b,c,b,a,c,b,d,d,a,d,d,b,b,d,b,b,c,c2
a,a,c,a,c,c,c,c,e,d,a,e,d,c,e,a,b,c,a,b,b,c,c,e,d,c,d,a,b,d,a,e,e,a,a,e,d,b,e,e,d,b,c,a,d,a,e,c,a,c,c4
c,c,c,c,c,b,e,e,e,a,e,a,e,a,c,c,d,a,d,c,e,e,b,b,e,a,d,b,b,a,b,b,e,a,e,b,b,e,d,d,e,a,d,d,d,e,e,d,e,a,c1
a,e,d,a,b,a,c,d,c,b,b,d,c,d,e,d,b,b,e,e,a,d,c,e,d,d,a,e,b,d,b,a,b,a,b,c,e,c,e,a,d,d,e,e,c,d,a,c,e,a,c3
a,c,a,d,a,e,a,c,a,e,b,a,e,c,e,b,e,b,b,b,d,b,b,b,c,d,b,d,e,b,c,d,c,e,d,b,a,c,c,b,d,a,b,c,b,e,d,b,a,c,c2
c,e,d,b,b,c,e,d,b,d,b,d,a,b,d,d,e,a,a,e,a,d,d,a,d,c,c,c,b,a,c,e,c,a,c,b,e,d,b,b,c,e,e,e,c,d,e,c,b,e,c3
d,e,b,d,b,d,d,d,d,a,b,b,c,a,b,d,a,c,d,c,a,d,b,c,d,c,d,e,b,e,a,e,b,a,e,b,e,e,e,c,b,b,c,e,d,d,a,a,b,e,c3
b,a,c,a,a,a,c,c,d,d,e,d,b,c,e,c,b,b,a,b,a,e,c,c,a,a,b,e,b,e,e,e,a,b,e,e,d,b,c,a,d,d,e,c,c,e,e,c,e,c,c4
d,b,a,d,d,b,b,a,e,a,b,a,b,b,e,a,c,d,a,d,a,c,c,d,c,d,e,e,c,c,d,b,a,e,b,a,e,e,e,b,a,a,d,d,d,d,b,d,a,e,c5
a,a,a,c,c,d,a,c,b,c,b,d,e,a,b,a,a,c,d,b,c,c,b,c,e,a,a,b,b,a,b,d,b,e,b,d,b,a,d,d,e,b,d,e,b,a,a,d,d,d,c1
e,a,a,c,a,e,a,a,a,a,d,c,e,b,a,e,d,e,d,d,d,d,b,b,e,a,a,b,b,a,b,a,c,d,a,a,b,a,d,e,e,d,e,b,a,a,a,c,a,d,c1
a,c,d,c,b,d,a,d,b,d,b,d,e,e,a,a,b,a,d,d,b,b,b,b,e,a,c,b,b,a,e,a,d,b,c,e,b,b,d,a,e,d,b,e,d,d,e,a,c,d,c1
b,a,c,c,b,b,c,e,e,b,a,c,a,c,c,c,d,d,a,a,e,e,c,d,a,a,e,b,b,e,d,e,c,a,b,e,d,b,c,a,c,e,c,c,a,e,e,c,c,e,c4
e,e,e,c,a,d,d,b,d,c,e,c,e,d,a,b,c,e,d,d,c,a,b,b,e,a,d,b,b,a,c,d,e,b,a,d,e,d,d,b,e,e,a,a,c,c,a,a,d,c,c1
a,b,d,b,e,a,b,a,d,a,c,a,b,b,c,c,b,d,b,e,a,a,a,a,d,d,d,e,a,b,e,d,e,e,c,a,d,a,e,d,a,a,c,b,d,e,d,b,c,c,c5
c,a,c,e,c,e,e,c,a,d,d,d,e,c,b,b,d,b,a,b,a,d,c,c,b,d,c,c,b,e,b,e,c,d,b,e,d,a,e,a,d,d,b,c,b,d,e,c,b,c,c4
a,b,d,e,e,d,b,a,e,a,e,c,a,b,a,d,a,b,c,d,a,b,d,a,a,d,e,e,a,a,c,c,a,d,e,a,e,c,e,a,a,a,a,d,d,b,d,c,c,e,c5
c,a,b,a,b,a,a,d,c,e,b,d,d,e,c,d,d,b,e,d,a,d,d,b,d,e,e,d,b,e,b,b,c,a,c,e,e,a,d,c,c,a,c,a,d,d,c,a,e,b,c3
b,d,c,c,c,b,a,c,d,c,e,c,e,b,d,a,e,a,d,a,d,c,b,d,e,a,b,b,b,a,a,a,d,d,d,c,c,e,d,a,e,a,d,e,b,e,c,c,e,b,c1
e,d,a,c,d,d,c,b,e,e,e,a,e,e,c,c,d,e,d,a,c,b,b,b,e,a,c,b,b,a,c,a,a,d,b,e,b,a,d,c,e,d,e,e,a,b,c,c,c,a,c1
d,b,c,a,d,a,b,a,c,b,a,d,e,b,b,a,a,e,e,d,a,a,d,a,e,d,c,e,b,c,b,d,a,e,d,b,b,b,e,e,a,a,c,b,d,e,b,d,a,e,c5
c,a,c,a,a,e,d,d,e,b,a,d,b,c,b,a,e,d,a,e,e,b,c,e,a,d,c,e,b,c,e,e,c,b,b,e,d,c,d,b,a,e,d,b,c,a,e,c,e,e,c4
c,d,c,c,b,d,d,d,c,a,b,c,a,e,e,d,b,a,d,c,a,d,c,e,d,e,a,d,b,e,a,c,e,a,c,d,e,d,a,b,b,e,b,a,a,d,a,a,c,b,c3
a,b,e,c,d,d,b,a,e,d,a,a,e,b,a,a,d,e,c,e,a,a,e,c,c,d,a,e,c,b,a,e,c,c,d,d,a,e,e,c,a,a,a,e,d,a,b,d,e,d,c5
e,a,c,d,d,e,c,a,d,e,b,e,b,c,d,b,b,c,a,a,b,c,c,e,b,b,b,b,b,e,e,e,e,a,d,e,d,d,d,c,e,b,d,d,a,e,e,c,a,d,c4
e,a,c,b,a,b,d,e,d,d,c,e,b,c,e,e,e,d,a,e,d,e,c,b,b,b,e,c,b,e,e,e,a,e,d,e,d,a,a,a,b,b,e,b,e,d,e,c,e,a,c4
b,a,c,b,e,a,c,a,e,c,c,a,b,c,b,a,a,a,a,b,a,e,c,d,b,c,b,c,b,b,c,e,d,a,a,e,d,b,c,b,b,b,d,d,b,e,e,c,c,c,c4
a,a,c,d,e,a,a,d,b,d,c,c,c,c,d,e,d,e,a,a,b,b,c,a,d,e,e,e,b,c,e,e,c,d,d,e,d,b,d,e,b,c,a,a,d,d,e,c,e,d,c4
c,b,b,d,d,c,b,a,c,b,d,b,e,b,c,e,c,a,a,b,a,a,c,b,e,d,d,e,d,d,a,b,a,a,b,a,d,c,e,a,a,a,c,e,d,d,e,d,a,e,c5
a,a,c,e,e,e,d,b,d,e,b,e,b,c,e,b,a,c,a,c,e,a,c,b,b,e,d,a,b,b,d,e,d,d,a,e,d,e,c,e,a,a,a,e,c,b,e,c,a,a,c4
a,b,a,e,b,d,e,d,e,c,b,d,b,e,b,d,d,d,e,d,a,d,c,e,d,d,d,e,b,c,b,b,d,a,d,c,e,d,c,d,c,e,e,d,b,d,a,d,a,b,c3
a,b,b,c,b,b,b,a,a,a,a,e,a,b,c,c,a,c,c,e,a,a,c,d,c,d,a,e,a,c,c,c,d,e,a,c,e,c,e,e,a,a,a,b,d,b,c,e,d,c,c5
e,b,d,c,a,a,b,a,a,a,d,b,d,b,b,e,a,a,c,c,a,d,b,c,c,d,e,e,b,d,b,a,d,d,c,d,c,b,e,e,a,a,b,e,d,b,a,b,e,d,c5
a,e,a,a,b,d,a,d,e,a,b,e,d,d,e,d,e,c,e,d,a,d,b,e,d,e,c,a,b,b,b,b,e,a,a,c,e,b,a,e,c,d,e,b,e,d,d,e,b,b,c3
a,b,e,c,b,a,b,a,c,a,b,b,e,e,e,c,c,a,d,c,e,c,b,a,e,a,c,b,b,a,e,c,b,b,a,c,b,c,d,a,e,b,e,e,d,e,c,d,e,d,c1
b,d,d,d,e,e,d,e,c,e,c,a,e,d,e,d,b,b,e,e,d,b,c,e,c,a,d,d,a,e,d,a,d,b,c,b,a,b,e,b,a,a,e,e,c,c,e,b,d,c,c2
e,c,b,d,a,e,c,d,a,e,c,a,d,e,e,c,a,a,b,c,a,d,d,a,c,e,c,d,c,c,c,a,c,a,b,b,a,d,c,a,d,a,c,e,b,b,b,b,b,c,c2
c,a,c,d,b,b,b,d,a,e,a,e,a,c,c,b,a,c,a,b,a,d,c,d,e,b,a,e,b,b,d,e,b,a,d,e,d,c,b,e,d,c,d,d,a,b,e,c,c,e,c4
c,a,c,c,d,b,a,e,a,c,e,c,b,c,e,b,c,b,a,e,e,b,c,a,d,b,d,b,b,e,a,e,d,c,a,e,d,c,a,b,c,a,c,a,e,d,e,c,a,d,c4
c,d,d,d,e,e,c,e,a,e,b,a,d,b,e,a,b,c,e,a,b,e,e,b,c,a,e,d,c,a,b,d,d,c,a,b,a,b,c,b,b,a,a,e,c,a,d,b,b,c,c2
e,d,d,c,b,d,c,c,a,e,b,b,e,c,a,a,c,d,d,c,a,e,b,b,e,a,a,b,b,a,a,e,d,a,a,b,b,d,d,e,e,a,e,e,a,c,b,b,a,e,c1
